DATA_OBITO,OUTRAS,COVID - RS,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-01-28,135,0,2,19,36,32,0
2019-01-29,133,0,1,15,44,31,0
2019-01-30,157,0,1,31,45,42,0
2019-01-31,160,0,2,17,48,40,0
2019-02-01,122,0,6,13,51,34,0
2019-02-02,135,0,1,24,35,23,0
2019-02-03,87,0,1,20,38,34,0
2019-02-04,110,0,4,11,41,26,0
2019-02-05,111,0,1,20,29,23,0
2019-02-06,106,0,2,22,34,32,0
2019-02-07,106,0,1,14,23,32,0
2019-02-08,110,0,1,18,44,38,1
2019-02-09,119,0,1,14,36,32,0
2019-02-10,115,0,1,23,25,30,0
2019-02-11,102,0,3,12,39,34,0
2019-02-12,118,0,3,19,31,34,0
2019-02-13,101,0,1,14,40,25,0
2019-02-14,118,0,1,13,27,25,0
2019-02-15,99,0,0,20,30,35,0
2019-02-16,118,0,1,17,31,36,0
2019-02-17,112,0,2,12,30,19,0
2019-02-18,120,0,4,17,31,24,0
2019-02-19,105,0,1,14,35,39,0
2019-02-20,111,0,3,17,37,36,0
2019-02-21,127,0,0,13,35,27,1
2019-02-22,115,0,1,18,31,37,0
2019-02-23,140,0,3,19,36,29,0
2019-02-24,126,0,1,16,38,32,0
2019-02-25,106,0,2,15,37,26,0
2019-02-26,108,0,0,12,25,34,0
2019-02-27,128,0,0,14,26,26,0
2019-02-28,97,0,2,18,36,28,0
2019-03-01,111,0,0,25,26,31,0
2019-03-02,104,0,0,19,25,35,0
2019-03-03,114,0,0,15,32,20,0
2019-03-04,123,0,2,26,35,40,0
2019-03-05,119,0,0,14,35,31,0
2019-03-06,123,0,0,16,36,27,0
2019-03-07,102,0,2,13,26,35,0
2019-03-08,121,0,2,17,42,26,1
2019-03-09,115,0,0,15,31,36,0
2019-03-10,102,0,1,22,43,31,0
2019-03-11,119,0,1,16,32,26,0
2019-03-12,123,0,1,16,33,34,0
2019-03-13,100,0,0,17,42,32,0
2019-03-14,117,0,2,16,30,34,0
2019-03-15,134,0,1,21,31,26,0
2019-03-16,119,0,0,15,34,26,0
