DATA_OBITO,OUTRAS,COVID - ES,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-08-07,29,0,0,4,13,8,0
2018-08-08,34,0,0,2,12,11,0
2018-08-09,40,0,0,4,15,11,0
2018-08-10,34,0,0,7,16,11,0
2018-08-11,33,0,0,1,19,10,0
2018-08-12,23,0,0,3,10,9,1
2018-08-13,37,0,0,2,17,6,0
2018-08-14,29,0,0,1,10,8,0
2018-08-15,32,0,1,8,10,7,0
2018-08-16,31,0,0,4,8,2,0
2018-08-17,27,0,0,4,7,9,0
2018-08-18,33,0,0,3,9,6,0
2018-08-19,36,0,0,2,14,8,0
2018-08-20,35,0,0,2,10,6,1
2018-08-21,29,0,0,5,10,11,0
2018-08-22,33,0,0,5,12,10,0
2018-08-23,25,0,0,2,15,14,0
2018-08-24,36,0,0,3,16,11,0
2018-08-25,39,0,0,3,17,11,0
2018-08-26,40,0,0,5,12,10,0
2018-08-27,33,0,0,1,11,8,0
2018-08-28,37,0,0,3,13,11,0
2018-08-29,29,0,0,3,11,7,0
2018-08-30,42,0,0,4,12,10,1
2018-08-31,35,0,0,2,8,12,0
2018-09-01,43,0,0,4,18,15,0
2018-09-02,40,0,0,3,10,15,0
2018-09-03,34,0,0,1,15,10,0
2018-09-04,32,0,0,5,18,11,0
2018-09-05,32,0,0,7,10,7,0
2018-09-06,39,0,0,2,12,15,0
2018-09-07,40,0,0,7,12,10,0
2018-09-08,35,0,0,12,10,4,0
2018-09-09,36,0,0,3,9,11,0
2018-09-10,32,0,0,2,23,8,0
2018-09-11,37,0,0,1,13,5,0
2018-09-12,41,0,0,4,7,10,0
2018-09-13,28,0,0,4,17,8,0
2018-09-14,42,0,0,3,12,10,0
2018-09-15,35,0,0,4,16,6,0
2018-09-16,27,0,0,2,16,21,0
2018-09-17,44,0,0,3,16,14,0
2018-09-18,28,0,0,3,10,13,0
2018-09-19,39,0,0,4,17,13,0
2018-09-20,24,0,0,2,10,9,0
2018-09-21,35,0,0,4,9,13,0
2018-09-22,26,0,0,1,15,16,0
2018-09-23,30,0,0,3,12,11,0
2018-09-24,29,0,0,2,19,15,0
2018-09-25,37,0,0,6,10,4,2
2018-09-26,31,0,0,1,12,11,0
2018-09-27,30,0,0,2,10,7,0
2018-09-28,30,0,0,5,10,9,0
2018-09-29,39,0,0,3,9,10,0
2018-09-30,31,0,0,2,9,13,0
2018-10-01,29,0,0,4,15,8,0
2018-10-02,30,0,0,1,18,2,0
2018-10-03,27,0,0,9,15,7,0
2018-10-04,32,0,0,7,9,12,0
2018-10-05,40,0,0,3,16,10,0
2018-10-06,32,0,0,3,10,10,0
2018-10-07,25,0,1,3,19,10,0
2018-10-08,37,0,0,2,13,9,0
2018-10-09,32,0,0,2,15,15,0
2018-10-10,25,0,0,5,10,9,0
2018-10-11,34,0,0,4,13,6,0
2018-10-12,35,0,0,6,10,14,0
2018-10-13,38,0,0,8,12,13,0
2018-10-14,33,0,0,2,14,7,0
2018-10-15,24,0,0,2,8,13,0
2018-10-16,26,0,0,2,13,10,0
2018-10-17,25,0,0,3,12,9,0
2018-10-18,38,0,0,1,5,7,0
2018-10-19,29,0,0,5,12,8,0
2018-10-20,34,0,0,3,15,18,0
2018-10-21,25,0,0,2,9,11,0
2018-10-22,37,0,0,4,9,10,0
2018-10-23,32,0,0,2,10,8,0
2018-10-24,27,0,0,3,14,16,0
2018-10-25,38,0,0,3,12,11,0
2018-10-26,37,0,0,2,12,12,0
2018-10-27,41,0,0,4,13,9,0
2018-10-28,34,0,1,5,10,10,0
2018-10-29,35,0,0,4,11,6,0
2018-10-30,30,0,0,4,9,13,0
2018-10-31,23,0,0,4,5,11,0
2018-11-01,31,0,0,3,12,15,0
2018-11-02,42,0,0,4,8,7,0
2018-11-03,31,0,0,3,11,7,1
2018-11-04,29,0,0,6,13,6,0
2018-11-05,32,0,0,1,14,8,0
2018-11-06,29,0,1,5,9,10,0
2018-11-07,34,0,0,5,15,18,0
2018-11-08,32,0,0,2,14,4,0
2018-11-09,33,0,0,8,17,15,0
2018-11-10,31,0,0,4,9,15,0
2018-11-11,38,0,0,3,13,7,1
2018-11-12,30,0,1,7,11,11,0
2018-11-13,37,0,0,3,16,6,1
2018-11-14,33,0,0,3,13,15,0
2018-11-15,40,0,0,1,12,12,0
2018-11-16,32,0,0,6,17,10,0
2018-11-17,40,0,0,2,11,6,0
2018-11-18,25,0,0,4,9,10,0
2018-11-19,36,0,0,0,12,8,0
2018-11-20,28,0,0,4,18,10,0
2018-11-21,34,0,0,4,12,9,0
2018-11-22,25,0,0,5,17,12,0
2018-11-23,24,0,0,2,10,13,0
2018-11-24,32,0,0,5,16,10,0
2018-11-25,42,0,0,4,7,9,0
2018-11-26,25,0,0,3,13,7,1
2018-11-27,30,0,0,3,7,5,0
2018-11-28,38,0,0,9,6,15,0
2018-11-29,30,0,0,2,8,8,0
2018-11-30,26,0,0,6,14,11,0
2018-12-01,26,0,1,3,16,15,0
2018-12-02,39,0,1,5,11,13,0
2018-12-03,40,0,0,3,18,18,0
2018-12-04,35,0,0,1,13,11,0
2018-12-05,28,0,0,4,15,15,0
2018-12-06,33,0,0,3,7,9,0
2018-12-07,34,0,0,6,10,17,0
2018-12-08,39,0,0,4,15,10,1
2018-12-09,34,0,0,3,8,11,0
2018-12-10,35,0,0,4,4,9,1
2018-12-11,35,0,0,3,17,9,0
2018-12-12,33,0,0,4,8,6,1
2018-12-13,38,0,0,5,6,12,0
2018-12-14,36,0,0,1,13,12,0
2018-12-15,44,0,0,4,10,8,0
2018-12-16,31,0,0,3,7,5,0
2018-12-17,34,0,0,4,12,8,0
2018-12-18,35,0,0,4,8,15,0
2018-12-19,36,0,0,6,15,8,0
2018-12-20,37,0,0,6,15,15,0
2018-12-21,44,0,0,5,14,15,0
2018-12-22,40,0,0,7,11,11,0
2018-12-23,28,0,0,1,12,10,0
2018-12-24,36,0,0,5,6,10,0
2018-12-25,36,0,0,2,17,9,0
2018-12-26,29,0,0,4,8,12,0
2018-12-27,33,0,0,2,11,12,0
2018-12-28,37,0,0,3,6,5,0
2018-12-29,26,0,0,2,13,6,0
2018-12-30,31,0,1,2,14,4,0
2018-12-31,32,0,1,4,16,9,0
2019-01-01,48,0,0,9,17,12,0
2019-01-02,42,0,0,2,4,13,0
2019-01-03,41,0,0,7,15,13,0
2019-01-04,35,0,0,1,18,9,0
2019-01-05,29,0,0,4,16,11,0
2019-01-06,34,0,0,6,15,13,0
2019-01-07,26,0,0,4,13,7,1
2019-01-08,31,0,0,2,16,13,0
2019-01-09,39,0,0,5,15,8,0
2019-01-10,45,0,0,4,9,9,0
2019-01-11,30,0,0,7,11,9,0
2019-01-12,35,0,0,2,15,9,0
2019-01-13,27,0,0,1,14,13,0
2019-01-14,26,0,0,3,8,8,0
2019-01-15,24,0,0,4,12,5,0
2019-01-16,34,0,0,3,17,8,0
2019-01-17,31,0,0,2,11,6,0
2019-01-18,40,0,1,8,11,12,0
2019-01-19,39,0,1,8,12,12,1
2019-01-20,36,0,0,6,12,11,1
2019-01-21,35,0,0,3,10,9,0
2019-01-22,25,0,0,3,14,10,0
2019-01-23,30,0,0,6,10,12,0
2019-01-24,56,0,0,5,15,6,0
2019-01-25,34,0,0,5,8,15,0
2019-01-26,30,0,0,2,13,8,0
2019-01-27,38,0,0,3,12,8,0
2019-01-28,36,0,0,7,14,14,0
2019-01-29,31,0,0,5,14,4,1
2019-01-30,36,0,0,8,14,4,1
2019-01-31,36,0,0,4,8,14,0
2019-02-01,33,0,0,5,13,14,0
2019-02-02,31,0,0,1,17,11,0
2019-02-03,32,0,0,0,9,10,0
2019-02-04,32,0,0,4,15,8,0
2019-02-05,31,0,0,3,14,7,0
2019-02-06,31,0,0,3,11,10,0
2019-02-07,27,0,0,3,10,9,0
2019-02-08,27,0,0,4,14,12,0
2019-02-09,40,0,0,3,9,7,0
2019-02-10,28,0,0,5,12,16,0
2019-02-11,33,0,0,3,14,13,0
2019-02-12,32,0,0,0,5,11,0
2019-02-13,38,0,0,1,11,7,0
2019-02-14,31,0,0,2,7,9,0
2019-02-15,38,0,0,3,9,13,1
2019-02-16,38,0,0,3,4,9,0
2019-02-17,28,0,0,6,11,11,0
2019-02-18,30,0,0,4,8,8,0
2019-02-19,33,0,0,4,13,8,0
2019-02-20,39,0,0,7,8,13,0
2019-02-21,20,0,0,3,8,9,0
2019-02-22,41,0,0,2,13,9,0
2019-02-23,32,0,0,4,9,9,0
2019-02-24,27,0,0,4,18,19,0
2019-02-25,39,0,0,4,14,11,0
2019-02-26,40,0,0,3,20,14,0
2019-02-27,32,0,0,2,14,11,0
2019-02-28,32,0,0,1,9,9,0
2019-03-01,35,0,0,6,21,7,0
2019-03-02,39,0,0,3,11,19,0
2019-03-03,44,0,0,4,7,15,0
2019-03-04,38,0,0,3,12,9,0
2019-03-05,23,0,0,3,17,6,0
2019-03-06,40,0,0,3,19,13,0
2019-03-07,30,0,0,3,18,10,0
2019-03-08,26,0,1,4,10,9,0
2019-03-09,42,0,0,1,15,11,0
2019-03-10,27,0,0,4,13,8,0
2019-03-11,38,0,0,5,15,5,0
2019-03-12,28,0,0,5,11,13,0
2019-03-13,27,0,0,3,12,13,0
2019-03-14,31,0,0,3,9,13,1
2019-03-15,37,0,0,5,14,7,0
2019-03-16,45,0,0,2,13,9,0
2019-03-17,39,0,1,0,13,11,0
2019-03-18,24,0,0,6,13,15,0
2019-03-19,47,0,0,2,16,11,0
2019-03-20,41,0,0,6,10,13,1
2019-03-21,42,0,0,1,18,11,0
2019-03-22,30,0,0,2,9,6,1
2019-03-23,40,0,0,5,18,8,0
2019-03-24,42,0,0,2,12,8,0
2019-03-25,32,0,0,3,18,11,0
2019-03-26,42,0,0,3,16,14,0
2019-03-27,24,0,0,3,11,10,0
2019-03-28,24,0,0,0,16,12,0
2019-03-29,32,0,0,7,13,6,0
2019-03-30,41,0,0,2,9,5,0
2019-03-31,35,0,0,5,12,10,0
2019-04-01,29,0,0,2,14,8,0
2019-04-02,33,0,0,6,16,12,0
2019-04-03,37,0,1,1,8,10,0
2019-04-04,40,0,0,2,13,12,1
2019-04-05,38,0,0,3,9,9,0
2019-04-06,47,0,0,8,15,13,0
2019-04-07,34,0,0,1,13,9,0
2019-04-08,35,0,0,5,19,14,0
2019-04-09,37,0,0,3,12,15,0
2019-04-10,31,0,0,5,12,6,0
2019-04-11,30,0,0,3,11,16,0
2019-04-12,28,0,0,8,12,7,0
2019-04-13,35,0,0,3,10,10,0
2019-04-14,27,0,0,7,14,12,0
2019-04-15,34,0,0,2,17,4,1
2019-04-16,31,0,0,5,22,8,0
2019-04-17,27,0,0,7,17,11,0
2019-04-18,37,0,0,5,9,8,0
2019-04-19,32,0,0,1,14,14,1
2019-04-20,32,0,0,4,19,17,0
2019-04-21,42,0,0,4,14,10,0
2019-04-22,29,0,0,3,12,10,0
2019-04-23,31,0,0,2,17,11,0
2019-04-24,30,0,0,8,10,9,0
2019-04-25,43,0,0,6,15,12,0
2019-04-26,30,0,0,8,14,6,0
2019-04-27,32,0,0,3,9,7,0
2019-04-28,26,0,0,3,13,9,0
2019-04-29,32,0,0,2,9,5,0
2019-04-30,32,0,0,6,16,10,0
2019-05-01,37,0,0,5,14,9,1
2019-05-02,31,0,0,4,11,8,0
2019-05-03,34,0,0,5,14,8,0
2019-05-04,26,0,0,3,17,8,0
2019-05-05,33,0,0,6,14,6,0
2019-05-06,42,0,0,8,15,15,0
2019-05-07,33,0,0,1,13,12,0
2019-05-08,31,0,0,2,15,8,0
2019-05-09,31,0,0,3,22,10,0
2019-05-10,28,0,0,2,18,12,0
2019-05-11,37,0,0,3,14,13,0
2019-05-12,34,0,0,2,7,17,0
2019-05-13,49,0,0,1,21,17,0
2019-05-14,40,0,0,3,18,9,0
2019-05-15,27,0,0,7,20,9,0
2019-05-16,35,0,0,4,11,11,1
2019-05-17,44,0,0,5,13,9,0
2019-05-18,40,0,0,3,16,11,0
2019-05-19,43,0,0,1,17,9,0
2019-05-20,26,0,0,2,17,15,0
2019-05-21,35,0,0,4,11,8,0
2019-05-22,33,0,0,2,13,16,1
2019-05-23,30,0,0,5,17,13,0
2019-05-24,34,0,0,3,10,7,0
2019-05-25,44,0,0,4,24,13,0
2019-05-26,46,0,0,2,16,11,0
2019-05-27,35,0,0,3,13,10,0
2019-05-28,39,0,0,4,15,6,1
2019-05-29,39,0,0,4,12,9,0
2019-05-30,27,0,0,3,29,6,0
2019-05-31,44,0,0,3,20,12,0
2019-06-01,43,0,0,6,20,4,0
2019-06-02,28,0,0,0,21,4,0
2019-06-03,34,0,0,4,15,12,1
2019-06-04,27,0,0,5,10,9,0
2019-06-05,41,0,0,4,12,8,0
2019-06-06,48,0,0,2,14,11,0
2019-06-07,45,0,0,3,16,5,0
2019-06-08,42,0,0,3,17,10,0
2019-06-09,47,0,0,5,18,6,0
2019-06-10,32,0,0,7,16,7,0
2019-06-11,42,0,0,6,20,10,0
2019-06-12,38,0,0,5,14,6,0
2019-06-13,43,0,0,2,15,18,0
2019-06-14,38,0,0,4,16,8,0
2019-06-15,41,0,0,3,16,14,0
2019-06-16,40,0,0,3,17,8,0
2019-06-17,35,0,0,2,16,7,0
2019-06-18,36,0,0,2,12,19,0
2019-06-19,36,0,0,4,18,10,0
2019-06-20,42,0,0,2,20,9,0
2019-06-21,41,0,0,3,23,10,0
2019-06-22,20,0,0,4,17,12,0
2019-06-23,35,0,0,3,15,8,0
2019-06-24,36,0,0,5,21,13,0
2019-06-25,39,0,0,5,18,8,0
