DATA_OBITO,OUTRAS,COVID - MS,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-09-20,22,0,0,1,7,6,0
2018-09-21,19,0,0,6,6,3,0
2018-09-22,14,0,0,3,9,10,0
2018-09-23,16,0,0,3,14,7,0
2018-09-24,15,0,1,4,16,5,0
2018-09-25,23,0,0,5,10,7,0
2018-09-26,13,0,0,2,15,4,0
2018-09-27,22,0,0,3,9,6,0
2018-09-28,13,0,0,1,10,7,0
2018-09-29,18,0,0,2,6,3,0
2018-09-30,21,0,0,4,9,3,0
2018-10-01,30,0,0,4,7,4,0
2018-10-02,27,0,0,1,13,7,0
2018-10-03,23,0,2,3,4,4,1
2018-10-04,22,0,0,2,8,3,0
2018-10-05,20,0,0,4,10,4,0
2018-10-06,21,0,0,2,4,3,1
2018-10-07,12,0,0,5,8,3,0
2018-10-08,26,0,0,3,11,4,0
2018-10-09,21,0,0,6,7,5,0
2018-10-10,24,0,1,4,9,2,0
2018-10-11,17,0,0,8,11,2,0
2018-10-12,16,0,0,2,13,5,0
2018-10-13,21,0,1,6,10,5,0
2018-10-14,16,0,0,6,9,3,0
2018-10-15,27,0,0,4,4,1,0
2018-10-16,23,0,0,2,11,7,0
2018-10-17,22,0,1,6,12,3,0
2018-10-18,27,0,0,2,11,3,0
2018-10-19,21,0,0,6,11,2,0
2018-10-20,22,0,0,2,8,5,0
2018-10-21,14,0,0,3,8,6,0
2018-10-22,16,0,0,2,9,7,0
2018-10-23,21,0,1,5,8,7,0
2018-10-24,11,0,0,5,6,4,0
2018-10-25,15,0,1,6,14,3,0
2018-10-26,21,0,0,8,8,2,1
2018-10-27,20,0,0,3,6,6,0
2018-10-28,17,0,0,7,7,4,0
2018-10-29,21,0,1,4,11,6,0
2018-10-30,13,0,0,4,5,6,1
2018-10-31,28,0,0,0,3,9,1
2018-11-01,21,0,0,2,5,3,0
2018-11-02,16,0,1,0,12,5,0
2018-11-03,14,0,0,5,11,3,0
2018-11-04,23,0,0,4,13,6,0
2018-11-05,34,0,0,4,8,3,0
2018-11-06,25,0,0,3,11,4,0
2018-11-07,14,0,0,4,7,1,0
2018-11-08,25,0,0,7,7,3,0
2018-11-09,22,0,0,2,5,5,0
2018-11-10,18,0,1,2,14,4,0
2018-11-11,28,0,0,3,9,6,0
2018-11-12,28,0,0,4,9,3,1
2018-11-13,23,0,0,5,10,8,0
2018-11-14,27,0,1,1,11,6,0
2018-11-15,19,0,0,4,9,3,0
2018-11-16,16,0,0,2,6,5,0
2018-11-17,21,0,0,3,10,5,0
2018-11-18,21,0,0,2,10,3,0
2018-11-19,14,0,0,4,8,6,0
2018-11-20,22,0,0,2,8,2,0
2018-11-21,16,0,1,4,9,3,0
2018-11-22,21,0,0,2,11,3,0
2018-11-23,28,0,0,3,7,6,0
2018-11-24,24,0,0,1,10,3,0
2018-11-25,22,0,0,6,12,4,0
2018-11-26,8,0,0,4,9,2,0
2018-11-27,17,0,0,3,4,3,0
2018-11-28,15,0,0,4,4,7,0
2018-11-29,19,0,0,4,9,6,0
2018-11-30,18,0,0,3,6,3,1
2018-12-01,17,0,0,1,6,5,0
2018-12-02,13,0,0,5,7,6,0
2018-12-03,18,0,0,4,6,4,0
2018-12-04,21,0,0,3,7,2,0
2018-12-05,27,0,0,1,8,0,0
2018-12-06,21,0,0,5,10,8,0
2018-12-07,18,0,0,5,7,3,0
2018-12-08,20,0,0,4,14,4,0
2018-12-09,25,0,0,2,8,5,2
2018-12-10,17,0,0,2,8,6,1
