DATA_OBITO,OUTRAS,COVID - RN,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-09-15,14,0,0,3,7,5,0
2018-09-16,15,0,0,4,5,5,0
2018-09-17,21,0,1,5,7,5,0
2018-09-18,20,0,2,0,8,3,0
2018-09-19,15,0,0,2,11,6,0
2018-09-20,20,0,0,1,3,3,0
2018-09-21,14,0,0,3,4,3,0
2018-09-22,19,0,0,1,5,5,0
2018-09-23,18,0,0,1,8,2,0
2018-09-24,14,0,0,3,10,5,0
2018-09-25,11,0,0,2,7,3,0
2018-09-26,14,0,0,2,1,6,0
2018-09-27,21,0,0,3,1,5,0
2018-09-28,19,0,0,2,7,4,0
2018-09-29,18,0,0,1,9,3,0
2018-09-30,22,0,2,5,8,2,0
2018-10-01,10,0,0,3,5,4,0
2018-10-02,20,0,0,3,5,4,0
2018-10-03,25,0,1,2,4,3,0
2018-10-04,11,0,1,4,7,3,0
2018-10-05,15,0,0,2,1,1,0
2018-10-06,14,0,0,2,9,6,0
2018-10-07,11,0,2,4,6,3,0
2018-10-08,14,0,1,2,4,8,0
2018-10-09,23,0,0,0,7,4,0
2018-10-10,21,0,0,3,5,5,0
2018-10-11,17,0,0,1,8,6,0
2018-10-12,18,0,0,0,6,9,0
2018-10-13,17,0,0,3,4,2,0
2018-10-14,21,0,0,1,4,5,0
2018-10-15,13,0,0,0,7,5,0
2018-10-16,18,0,0,2,7,4,0
2018-10-17,17,0,0,2,5,8,0
2018-10-18,14,0,0,4,12,2,0
2018-10-19,21,0,1,2,4,3,0
2018-10-20,24,0,0,3,6,4,0
2018-10-21,14,0,0,2,11,2,0
2018-10-22,15,0,0,4,8,4,0
2018-10-23,16,0,1,4,5,5,0
2018-10-24,18,0,0,1,4,3,0
2018-10-25,19,0,0,2,4,11,0
2018-10-26,23,0,0,1,10,5,0
2018-10-27,21,0,0,2,6,4,0
2018-10-28,19,0,1,1,6,4,0
2018-10-29,17,0,0,2,11,4,0
2018-10-30,15,0,0,2,9,7,0
2018-10-31,15,0,0,3,6,5,0
2018-11-01,13,0,0,2,7,6,0
2018-11-02,14,0,0,2,4,6,0
2018-11-03,21,0,0,3,4,8,0
2018-11-04,28,0,0,1,4,3,0
2018-11-05,16,0,0,3,6,7,0
2018-11-06,21,0,1,4,5,6,0
2018-11-07,13,0,0,2,9,6,0
2018-11-08,24,0,0,1,11,2,0
2018-11-09,16,0,0,3,7,0,0
2018-11-10,13,0,0,3,9,5,0
2018-11-11,16,0,0,4,8,7,0
2018-11-12,13,0,0,2,7,3,0
2018-11-13,14,0,0,1,4,4,0
2018-11-14,19,0,0,3,10,5,0
2018-11-15,24,0,0,6,5,4,0
2018-11-16,16,0,0,1,5,3,0
2018-11-17,20,0,0,1,3,3,0
2018-11-18,24,0,1,2,7,6,0
2018-11-19,16,0,0,1,5,11,0
2018-11-20,17,0,1,4,11,5,0
2018-11-21,20,0,0,3,9,6,0
2018-11-22,16,0,0,1,2,6,0
2018-11-23,22,0,0,1,9,2,0
2018-11-24,17,0,0,2,10,5,0
2018-11-25,21,0,2,3,9,4,0
2018-11-26,18,0,0,3,11,6,0
2018-11-27,21,0,0,2,5,5,0
2018-11-28,19,0,0,2,4,2,0
2018-11-29,22,0,0,1,7,8,0
2018-11-30,19,0,0,4,10,6,0
2018-12-01,17,0,0,1,5,7,0
2018-12-02,22,0,0,0,12,7,0
2018-12-03,29,0,0,0,6,8,0
2018-12-04,25,0,0,1,8,5,0
2018-12-05,24,0,0,1,8,8,0
2018-12-06,18,0,1,2,6,9,0
2018-12-07,13,0,0,2,4,7,0
2018-12-08,23,0,0,2,4,5,0
2018-12-09,16,0,0,1,9,7,0
2018-12-10,12,0,1,2,16,3,1
2018-12-11,25,0,0,1,9,7,0
2018-12-12,26,0,1,5,9,8,0
2018-12-13,17,0,0,1,7,5,0
2018-12-14,16,0,0,3,7,8,0
2018-12-15,18,0,0,2,5,8,0
2018-12-16,23,0,0,1,5,10,0
2018-12-17,16,0,0,2,5,6,0
2018-12-18,20,0,0,5,6,7,1
2018-12-19,20,0,0,3,6,5,0
2018-12-20,21,0,0,4,5,10,0
2018-12-21,24,0,0,4,10,8,0
2018-12-22,22,0,0,5,6,10,0
2018-12-23,19,0,1,0,12,10,0
2018-12-24,17,0,0,3,8,7,0
2018-12-25,20,0,0,5,8,5,0
2018-12-26,29,0,1,5,8,2,0
2018-12-27,24,0,0,3,8,3,0
2018-12-28,18,0,0,1,7,6,0
2018-12-29,21,0,1,2,11,4,1
2018-12-30,24,0,0,5,14,6,0
2018-12-31,18,0,0,1,4,3,0
2019-01-01,26,0,0,4,11,7,0
2019-01-02,17,0,1,5,7,7,0
2019-01-03,28,0,0,8,6,3,0
2019-01-04,22,0,0,2,10,6,0
2019-01-05,20,0,0,4,6,3,0
2019-01-06,22,0,1,0,7,6,0
2019-01-07,24,0,1,2,16,3,0
2019-01-08,16,0,0,1,8,9,0
2019-01-09,18,0,0,1,11,9,0
2019-01-10,20,0,0,3,3,3,0
2019-01-11,15,0,0,2,7,5,0
2019-01-12,26,0,0,6,13,8,0
2019-01-13,22,0,0,3,15,4,0
2019-01-14,25,0,1,5,7,7,1
2019-01-15,25,0,1,1,8,5,0
2019-01-16,16,0,1,1,15,7,0
2019-01-17,29,0,0,1,9,5,0
2019-01-18,19,0,0,3,17,8,0
2019-01-19,30,0,0,3,7,6,0
2019-01-20,16,0,0,2,10,4,0
2019-01-21,15,0,1,4,7,5,0
2019-01-22,27,0,0,5,13,11,0
2019-01-23,21,0,0,2,13,11,0
2019-01-24,31,0,0,0,13,8,0
2019-01-25,26,0,0,4,9,7,0
2019-01-26,20,0,0,9,11,5,0
2019-01-27,18,0,0,4,9,7,0
2019-01-28,18,0,1,3,7,3,0
2019-01-29,23,0,0,4,6,8,0
2019-01-30,27,0,0,5,9,6,0
2019-01-31,14,0,1,1,4,6,0
2019-02-01,23,0,0,1,5,4,0
2019-02-02,22,0,1,2,8,5,0
2019-02-03,19,0,0,7,6,6,0
2019-02-04,16,0,1,4,16,6,0
2019-02-05,30,0,1,1,9,7,0
2019-02-06,14,0,0,4,2,5,0
2019-02-07,18,0,0,4,4,5,0
2019-02-08,19,0,0,0,6,3,0
2019-02-09,15,0,1,1,5,7,0
2019-02-10,14,0,0,5,6,3,0
2019-02-11,24,0,0,5,9,6,0
2019-02-12,21,0,0,6,5,4,0
2019-02-13,15,0,0,2,7,8,0
2019-02-14,24,0,0,5,4,6,0
2019-02-15,21,0,0,1,8,4,0
2019-02-16,19,0,0,4,7,5,0
2019-02-17,17,0,0,4,10,4,0
2019-02-18,15,0,1,5,6,1,0
2019-02-19,19,0,0,0,8,9,0
2019-02-20,21,0,0,3,6,11,0
2019-02-21,26,0,0,1,11,3,0
2019-02-22,28,0,0,1,7,6,0
2019-02-23,19,0,0,3,7,5,0
2019-02-24,16,0,0,2,8,4,1
2019-02-25,16,0,1,2,12,5,0
2019-02-26,21,0,0,3,8,7,0
2019-02-27,21,0,1,5,13,5,0
2019-02-28,20,0,0,2,15,8,0
2019-03-01,23,0,0,1,7,6,0
2019-03-02,21,0,0,5,9,8,0
2019-03-03,18,0,0,2,12,6,0
2019-03-04,22,0,1,4,10,12,0
2019-03-05,23,0,1,4,8,7,0
2019-03-06,26,0,0,5,10,4,0
2019-03-07,22,0,0,1,8,7,0
2019-03-08,21,0,0,0,12,7,0
2019-03-09,10,0,1,3,14,9,0
2019-03-10,29,0,0,2,8,10,0
2019-03-11,20,0,2,2,8,6,0
2019-03-12,29,0,0,2,9,5,0
2019-03-13,27,0,0,4,5,4,0
2019-03-14,26,0,0,1,9,8,0
2019-03-15,16,0,0,3,11,8,0
2019-03-16,18,0,1,3,8,8,0
2019-03-17,26,0,1,4,4,4,0
2019-03-18,28,0,2,2,10,5,0
2019-03-19,27,0,0,3,11,9,0
2019-03-20,26,0,0,2,11,8,0
2019-03-21,27,0,2,2,5,4,0
2019-03-22,21,0,1,3,7,4,0
2019-03-23,24,0,1,7,12,6,0
2019-03-24,27,0,1,2,10,8,0
2019-03-25,19,0,1,3,11,7,0
2019-03-26,24,0,2,0,6,5,1
2019-03-27,19,0,2,1,11,9,0
