DATA_OBITO,OUTRAS,COVID - SC,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-10-19,63,0,0,2,22,12,0
2018-10-20,57,0,2,7,16,18,0
2018-10-21,53,0,2,7,18,12,1
2018-10-22,45,0,1,9,17,13,0
2018-10-23,49,0,1,13,11,15,0
2018-10-24,52,0,0,14,28,8,0
2018-10-25,53,0,0,7,10,13,0
2018-10-26,68,0,0,9,20,20,0
2018-10-27,52,0,1,10,24,14,0
2018-10-28,52,0,1,5,19,6,0
2018-10-29,59,0,0,7,15,14,0
2018-10-30,65,0,1,18,13,11,0
2018-10-31,68,0,0,7,24,14,0
2018-11-01,52,0,0,11,21,15,0
2018-11-02,61,0,1,14,16,17,0
2018-11-03,70,0,2,12,19,9,0
2018-11-04,51,0,0,8,12,9,0
2018-11-05,48,0,0,9,18,14,0
2018-11-06,62,0,0,6,17,14,0
2018-11-07,51,0,2,11,22,15,0
2018-11-08,66,0,1,10,20,11,0
2018-11-09,62,0,0,11,22,6,0
2018-11-10,56,0,0,13,14,19,0
2018-11-11,59,0,0,6,19,17,0
2018-11-12,58,0,0,12,16,16,0
2018-11-13,69,0,0,7,31,16,0
2018-11-14,44,0,2,12,13,16,1
2018-11-15,63,0,0,11,22,9,0
2018-11-16,49,0,0,8,20,15,0
2018-11-17,61,0,0,5,14,11,0
2018-11-18,42,0,0,11,15,14,0
2018-11-19,64,0,0,16,15,9,0
2018-11-20,51,0,2,13,24,8,0
2018-11-21,48,0,3,11,22,5,0
2018-11-22,66,0,0,13,17,15,2
2018-11-23,62,0,0,8,23,10,0
2018-11-24,49,0,2,6,19,10,0
2018-11-25,66,0,1,6,20,13,0
2018-11-26,42,0,0,10,11,7,0
2018-11-27,68,0,0,8,12,14,1
2018-11-28,44,0,1,15,9,18,0
2018-11-29,56,0,2,13,19,13,0
2018-11-30,61,0,0,8,13,18,0
2018-12-01,48,0,0,18,14,10,1
2018-12-02,56,0,1,5,16,8,0
2018-12-03,51,0,1,10,12,10,0
2018-12-04,68,0,0,11,20,16,0
2018-12-05,49,0,0,7,20,10,0
2018-12-06,53,0,1,8,15,14,1
2018-12-07,57,0,0,2,19,11,0
2018-12-08,43,0,0,8,22,12,0
2018-12-09,48,0,1,6,10,8,0
2018-12-10,44,0,1,11,14,12,0
2018-12-11,65,0,0,11,15,11,0
2018-12-12,63,0,1,8,15,17,0
2018-12-13,56,0,1,13,16,15,0
2018-12-14,61,0,0,10,23,10,0
2018-12-15,62,0,2,7,19,13,1
2018-12-16,53,0,0,6,21,17,0
2018-12-17,59,0,0,13,24,14,0
2018-12-18,52,0,0,16,16,16,1
2018-12-19,57,0,1,8,18,18,0
2018-12-20,53,0,0,17,16,20,0
2018-12-21,68,0,0,7,8,18,0
2018-12-22,52,0,0,10,17,14,0
2018-12-23,72,0,0,9,18,13,0
2018-12-24,52,0,0,12,12,16,0
2018-12-25,51,0,0,13,11,18,1
2018-12-26,68,0,0,5,18,17,0
2018-12-27,62,0,2,12,11,17,0
2018-12-28,63,0,2,5,13,13,1
2018-12-29,57,0,1,4,13,9,1
2018-12-30,58,0,0,7,18,11,0
2018-12-31,68,0,0,9,17,8,0
2019-01-01,70,0,0,7,16,12,0
2019-01-02,57,0,0,6,20,13,0
2019-01-03,74,0,2,9,14,17,0
2019-01-04,64,0,0,8,27,18,0
2019-01-05,59,0,0,9,24,19,0
2019-01-06,49,0,0,14,19,18,0
2019-01-07,54,0,0,7,26,18,0
2019-01-08,68,0,0,7,25,17,0
2019-01-09,46,0,1,2,18,14,0
2019-01-10,69,0,1,6,19,7,0
2019-01-11,53,0,0,9,17,11,0
2019-01-12,56,0,0,12,10,14,0
2019-01-13,51,0,0,8,21,16,0
2019-01-14,61,0,0,11,8,14,0
2019-01-15,56,0,0,6,20,20,0
2019-01-16,48,0,0,9,24,13,1
2019-01-17,55,0,0,15,19,13,0
2019-01-18,59,0,0,7,20,12,1
2019-01-19,61,0,0,9,12,10,0
2019-01-20,50,0,1,6,12,5,0
2019-01-21,44,0,0,9,8,11,0
2019-01-22,58,0,1,8,14,15,0
2019-01-23,42,0,0,6,16,21,0
2019-01-24,47,0,0,9,9,13,0
2019-01-25,62,0,0,12,20,11,0
2019-01-26,52,0,1,9,13,14,0
2019-01-27,62,0,1,5,15,17,0
2019-01-28,53,0,2,10,7,21,0
2019-01-29,57,0,1,9,18,22,0
2019-01-30,67,0,0,8,14,15,1
2019-01-31,69,0,2,12,25,13,0
2019-02-01,78,0,0,14,19,14,0
2019-02-02,52,0,2,6,20,15,1
2019-02-03,53,0,1,6,14,17,0
2019-02-04,63,0,1,2,15,13,0
2019-02-05,56,0,0,10,12,11,0
2019-02-06,71,0,1,10,14,15,0
2019-02-07,77,0,1,9,12,17,0
2019-02-08,74,0,3,6,20,12,0
2019-02-09,62,0,1,10,22,7,0
2019-02-10,47,0,0,14,17,13,0
2019-02-11,70,0,1,7,24,20,0
2019-02-12,53,0,0,5,21,8,0
2019-02-13,56,0,1,7,21,17,0
2019-02-14,62,0,0,14,16,10,0
2019-02-15,57,0,1,9,21,24,0
2019-02-16,62,0,0,10,15,14,0
2019-02-17,56,0,0,11,11,11,0
2019-02-18,67,0,0,8,15,14,0
2019-02-19,61,0,0,16,12,12,1
2019-02-20,55,0,0,10,17,13,0
2019-02-21,53,0,1,12,9,18,0
2019-02-22,45,0,0,6,18,9,2
2019-02-23,62,0,1,11,12,13,0
2019-02-24,60,0,1,10,14,19,0
2019-02-25,68,0,0,8,10,18,0
2019-02-26,60,0,0,4,19,17,0
2019-02-27,45,0,0,10,19,16,0
2019-02-28,50,0,0,8,15,18,0
2019-03-01,52,0,0,12,18,11,0
2019-03-02,58,0,0,7,19,19,0
2019-03-03,51,0,2,15,13,15,0
2019-03-04,71,0,0,6,22,20,0
2019-03-05,61,0,1,6,19,17,0
2019-03-06,66,0,0,6,21,20,0
2019-03-07,55,0,1,5,17,18,0
2019-03-08,47,0,0,8,15,11,0
2019-03-09,74,0,1,9,22,14,0
2019-03-10,62,0,0,9,14,13,0
2019-03-11,59,0,1,7,21,21,0
2019-03-12,60,0,2,8,23,12,1
2019-03-13,42,0,0,6,18,14,0
2019-03-14,49,0,1,5,15,16,0
2019-03-15,56,0,3,11,19,15,0
2019-03-16,63,0,0,10,19,19,0
2019-03-17,40,0,0,10,17,15,0
2019-03-18,50,0,0,10,20,14,0
2019-03-19,55,0,1,6,17,11,0
2019-03-20,52,0,1,11,15,13,0
2019-03-21,60,0,0,8,19,16,0
2019-03-22,49,0,0,10,16,15,0
2019-03-23,44,0,0,9,22,18,0
2019-03-24,53,0,0,7,15,12,0
2019-03-25,61,0,1,12,22,10,0
2019-03-26,52,0,0,8,25,23,0
2019-03-27,44,0,0,8,12,10,0
2019-03-28,53,0,0,7,16,14,0
2019-03-29,64,0,2,5,18,14,0
2019-03-30,63,0,0,9,16,8,0
2019-03-31,55,0,1,9,22,16,0
2019-04-01,57,0,2,7,13,17,0
2019-04-02,47,0,1,9,15,10,0
2019-04-03,47,0,0,6,26,4,0
2019-04-04,52,0,0,7,23,18,0
2019-04-05,63,0,0,4,20,12,0
2019-04-06,57,0,2,7,13,11,0
2019-04-07,50,0,0,6,20,10,0
2019-04-08,54,0,0,10,18,13,0
2019-04-09,62,0,0,8,17,11,0
2019-04-10,59,0,1,5,11,19,0
2019-04-11,56,0,0,7,18,13,0
2019-04-12,57,0,1,6,17,14,0
2019-04-13,68,0,0,8,20,17,1
2019-04-14,60,0,0,13,21,15,0
2019-04-15,65,0,0,10,22,16,0
2019-04-16,48,0,0,10,19,13,0
2019-04-17,54,0,0,9,16,11,0
2019-04-18,54,0,0,8,21,11,0
2019-04-19,53,0,0,13,16,8,1
2019-04-20,49,0,0,4,20,14,0
2019-04-21,48,0,2,5,11,15,0
2019-04-22,53,0,0,7,27,17,0
2019-04-23,53,0,1,8,23,16,0
2019-04-24,57,0,0,7,15,14,0
2019-04-25,56,0,1,8,14,12,0
2019-04-26,50,0,0,12,20,14,0
2019-04-27,40,0,0,3,22,16,1
2019-04-28,55,0,1,11,21,16,0
2019-04-29,56,0,0,10,23,17,0
2019-04-30,66,0,1,14,22,19,0
2019-05-01,55,0,0,6,20,11,0
2019-05-02,51,0,0,6,22,19,0
2019-05-03,73,0,0,8,13,14,0
2019-05-04,57,0,0,12,18,15,0
2019-05-05,57,0,1,17,12,13,1
2019-05-06,59,0,0,11,14,17,0
2019-05-07,59,0,0,6,15,18,0
2019-05-08,56,0,2,7,17,15,0
2019-05-09,53,0,0,9,14,12,0
2019-05-10,57,0,0,8,26,18,0
2019-05-11,59,0,1,5,7,10,0
2019-05-12,54,0,1,12,15,21,0
2019-05-13,63,0,0,13,20,15,0
2019-05-14,57,0,1,8,16,15,0
2019-05-15,59,0,0,9,30,11,0
2019-05-16,45,0,1,8,18,10,1
2019-05-17,63,0,0,6,19,12,0
2019-05-18,57,0,1,8,22,25,0
2019-05-19,67,0,1,10,18,13,1
2019-05-20,48,0,2,9,18,14,0
2019-05-21,61,0,0,8,25,14,0
2019-05-22,57,0,0,12,21,13,1
2019-05-23,64,0,0,11,19,18,0
2019-05-24,60,0,0,12,12,18,1
2019-05-25,63,0,4,4,19,14,1
2019-05-26,63,0,0,11,18,9,0
2019-05-27,70,0,0,8,22,15,1
2019-05-28,59,0,2,11,22,11,1
2019-05-29,63,0,1,6,23,9,0
2019-05-30,71,0,0,10,16,15,0
2019-05-31,62,0,0,7,19,9,0
2019-06-01,61,0,2,9,22,16,0
2019-06-02,63,0,1,6,13,14,1
2019-06-03,74,0,1,6,24,19,0
2019-06-04,68,0,0,12,16,6,0
2019-06-05,61,0,1,7,10,9,0
2019-06-06,64,0,0,6,14,12,0
2019-06-07,53,0,1,9,19,12,0
2019-06-08,62,0,1,10,22,10,1
2019-06-09,70,0,1,12,16,11,1
2019-06-10,51,0,0,10,31,21,0
2019-06-11,54,0,0,11,30,21,0
2019-06-12,69,0,1,11,28,22,0
2019-06-13,70,0,1,17,29,10,0
2019-06-14,59,0,0,13,21,15,0
2019-06-15,55,0,1,12,28,16,1
2019-06-16,64,0,0,16,29,14,0
2019-06-17,60,0,0,3,16,12,0
2019-06-18,63,0,0,16,19,19,0
2019-06-19,54,0,0,10,25,13,1
2019-06-20,46,0,0,8,25,17,0
2019-06-21,64,0,0,8,17,16,1
2019-06-22,51,0,0,10,20,16,1
2019-06-23,55,0,0,7,20,14,0
2019-06-24,59,0,1,10,29,18,1
2019-06-25,69,0,0,7,22,15,0
2019-06-26,72,0,1,13,22,15,0
2019-06-27,59,0,0,15,25,20,1
2019-06-28,60,0,2,14,20,12,1
2019-06-29,66,0,2,12,23,17,0
2019-06-30,60,0,1,12,24,14,0
2019-07-01,57,0,1,9,26,13,0
2019-07-02,59,0,0,14,32,17,0
2019-07-03,61,0,0,14,26,15,0
2019-07-04,63,0,1,8,25,14,2
2019-07-05,66,0,0,11,25,14,0
2019-07-06,76,0,0,10,26,11,0
2019-07-07,96,0,0,13,26,16,0
2019-07-08,67,0,0,8,39,10,0
2019-07-09,81,0,1,12,29,17,0
2019-07-10,88,0,1,10,35,16,0
2019-07-11,73,0,2,16,31,27,1
2019-07-12,67,0,0,10,28,13,1
2019-07-13,72,0,0,12,19,17,0
2019-07-14,66,0,2,8,28,14,0
2019-07-15,78,0,0,10,28,18,2
2019-07-16,62,0,0,14,28,12,0
2019-07-17,75,0,2,8,25,22,0
2019-07-18,61,0,0,11,29,14,0
2019-07-19,69,0,1,9,18,19,0
2019-07-20,71,0,0,7,23,18,1
2019-07-21,54,0,1,14,30,17,0
2019-07-22,68,0,2,17,37,12,1
2019-07-23,71,0,3,11,27,21,0
2019-07-24,74,0,0,7,26,20,0
2019-07-25,73,0,0,15,17,16,0
2019-07-26,67,0,3,20,29,19,0
2019-07-27,53,0,0,11,21,19,2
2019-07-28,64,0,1,18,32,12,1
2019-07-29,56,0,1,10,21,15,0
2019-07-30,55,0,0,5,24,12,0
2019-07-31,64,0,0,10,21,14,0
2019-08-01,61,0,0,11,23,20,1
2019-08-02,65,0,1,7,18,19,0
2019-08-03,61,0,1,10,19,8,0
2019-08-04,58,0,3,9,20,13,1
2019-08-05,78,0,1,11,34,18,0
2019-08-06,62,0,1,12,29,22,2
2019-08-07,66,0,1,12,33,11,0
2019-08-08,59,0,2,9,19,17,0
2019-08-09,69,0,1,6,17,24,1
2019-08-10,67,0,2,13,33,10,0
2019-08-11,57,0,0,13,30,11,0
2019-08-12,75,0,1,13,27,11,0
2019-08-13,54,0,0,14,17,17,0
2019-08-14,71,0,0,11,16,11,0
2019-08-15,69,0,3,8,30,21,0
2019-08-16,70,0,4,9,21,18,0
2019-08-17,65,0,0,11,15,21,1
2019-08-18,67,0,0,7,22,14,0
2019-08-19,47,0,0,8,17,14,0
2019-08-20,53,0,1,9,28,15,0
2019-08-21,69,0,1,13,26,15,0
2019-08-22,55,0,0,7,21,15,0
2019-08-23,65,0,1,7,32,16,0
2019-08-24,68,0,2,7,24,8,1
2019-08-25,66,0,0,9,22,11,0
2019-08-26,65,0,1,8,15,15,0
2019-08-27,65,0,1,8,28,17,0
2019-08-28,67,0,1,13,22,13,0
2019-08-29,73,0,0,11,19,20,1
2019-08-30,82,0,2,8,29,10,0
2019-08-31,63,0,0,10,18,12,0
2019-09-01,53,0,2,19,22,11,0
2019-09-02,71,0,0,7,20,22,1
2019-09-03,56,0,1,9,17,11,0
2019-09-04,52,0,2,12,19,10,0
2019-09-05,69,0,3,11,20,16,0
2019-09-06,77,0,0,10,22,18,1
2019-09-07,53,0,0,13,26,20,0
2019-09-08,57,0,0,9,21,15,0
2019-09-09,75,0,1,15,28,14,0
2019-09-10,71,0,1,13,22,16,1
2019-09-11,68,0,1,15,21,23,0
2019-09-12,67,0,0,11,22,17,0
2019-09-13,56,0,0,8,27,14,0
2019-09-14,44,0,2,8,25,18,1
2019-09-15,62,0,0,10,28,15,0
2019-09-16,80,0,1,6,20,14,0
2019-09-17,65,0,0,7,31,10,0
2019-09-18,58,0,1,11,19,13,0
2019-09-19,61,0,1,11,31,18,0
2019-09-20,49,0,0,12,24,14,0
2019-09-21,70,0,0,9,21,11,1
2019-09-22,66,0,0,14,24,12,0
2019-09-23,72,0,1,14,22,10,0
2019-09-24,58,0,0,10,16,15,0
2019-09-25,65,0,0,9,25,13,0
2019-09-26,57,0,1,7,12,23,0
2019-09-27,55,0,0,12,24,17,0
2019-09-28,39,0,0,7,22,10,0
2019-09-29,54,0,1,5,18,17,1
2019-09-30,68,0,1,7,25,12,0
2019-10-01,65,0,1,7,24,16,0
2019-10-02,75,0,0,13,29,18,0
2019-10-03,59,0,1,17,19,16,1
2019-10-04,56,0,0,11,24,18,0
2019-10-05,65,0,1,14,21,13,1
2019-10-06,58,0,0,8,22,23,0
