DATA_OBITO,OUTRAS,COVID - PR,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-08-03,96,0,1,7,39,28,0
2018-08-04,98,0,3,19,34,25,0
2018-08-05,104,0,2,6,40,16,0
2018-08-06,102,0,0,11,33,18,0
2018-08-07,97,0,2,7,22,21,1
2018-08-08,92,0,1,16,31,19,0
2018-08-09,100,0,1,12,37,19,0
2018-08-10,99,0,1,11,28,28,0
2018-08-11,92,0,3,16,25,23,0
2018-08-12,100,0,1,12,20,21,0
2018-08-13,109,0,2,19,33,21,0
2018-08-14,87,0,2,12,28,13,0
2018-08-15,82,0,0,12,37,22,0
2018-08-16,96,0,1,13,28,23,0
2018-08-17,77,0,0,13,26,19,0
2018-08-18,93,0,1,11,32,17,1
2018-08-19,84,0,0,12,29,26,1
2018-08-20,73,0,2,13,30,19,1
2018-08-21,76,0,1,10,24,21,0
2018-08-22,100,0,0,14,25,14,2
2018-08-23,79,0,3,9,22,23,0
2018-08-24,89,0,1,10,30,20,1
2018-08-25,84,0,2,11,32,18,0
2018-08-26,73,0,1,8,32,17,0
2018-08-27,84,0,0,17,22,12,0
2018-08-28,74,0,0,8,26,17,2
2018-08-29,84,0,3,16,30,23,1
2018-08-30,95,0,0,14,32,15,0
2018-08-31,115,0,0,10,37,19,1
2018-09-01,93,0,2,15,38,33,0
2018-09-02,94,0,1,19,47,27,1
2018-09-03,85,0,1,14,35,18,0
2018-09-04,100,0,1,16,26,32,1
2018-09-05,83,0,1,16,35,26,0
2018-09-06,81,0,1,8,28,30,0
2018-09-07,99,0,1,8,45,18,1
2018-09-08,88,0,0,12,44,25,0
2018-09-09,96,0,1,15,34,24,0
2018-09-10,95,0,2,15,38,25,1
2018-09-11,90,0,1,15,35,14,0
2018-09-12,104,0,1,12,33,39,1
2018-09-13,86,0,1,18,37,33,1
2018-09-14,97,0,0,11,33,19,0
2018-09-15,117,0,0,12,32,18,0
2018-09-16,104,0,1,14,31,22,1
2018-09-17,104,0,2,10,26,24,1
2018-09-18,98,0,1,11,31,23,0
2018-09-19,113,0,2,13,28,19,1
2018-09-20,111,0,1,12,30,16,0
2018-09-21,99,0,0,20,27,21,0
2018-09-22,123,0,2,15,31,20,1
2018-09-23,99,0,1,11,27,28,2
