DATA_OBITO,OUTRAS,COVID - DF,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-07-21,14,0,0,2,8,11,0
2018-07-22,17,0,0,3,9,13,0
2018-07-23,16,0,0,3,10,6,0
2018-07-24,17,0,0,4,6,6,0
2018-07-25,17,0,0,2,7,6,0
2018-07-26,24,0,0,1,12,5,0
2018-07-27,21,0,0,6,3,6,0
2018-07-28,22,0,0,3,7,7,0
2018-07-29,16,0,0,3,6,6,0
2018-07-30,29,0,0,6,5,8,0
2018-07-31,22,0,0,3,10,4,0
2018-08-01,24,0,0,4,7,13,0
2018-08-02,25,0,0,4,8,7,0
2018-08-03,19,0,0,1,8,10,0
2018-08-04,11,0,0,4,7,8,0
2018-08-05,20,0,1,1,6,6,0
2018-08-06,18,0,0,2,8,11,0
2018-08-07,17,0,0,1,4,2,0
2018-08-08,24,0,1,7,12,6,0
2018-08-09,24,0,2,3,4,5,0
2018-08-10,21,0,0,3,6,7,0
2018-08-11,11,0,0,4,7,6,0
2018-08-12,15,0,1,8,8,5,0
2018-08-13,16,0,0,0,14,2,0
2018-08-14,19,0,1,6,8,5,0
2018-08-15,23,0,0,6,13,4,0
2018-08-16,14,0,0,1,8,4,0
2018-08-17,23,0,3,5,7,9,0
2018-08-18,20,0,0,3,13,9,0
2018-08-19,16,0,0,5,7,8,0
2018-08-20,19,0,0,2,4,6,0
2018-08-21,16,0,1,1,10,13,0
2018-08-22,10,0,0,5,7,4,0
2018-08-23,23,0,0,6,7,5,0
2018-08-24,16,0,0,3,11,8,0
2018-08-25,13,0,0,3,7,5,1
2018-08-26,30,0,0,4,12,9,0
2018-08-27,20,0,0,3,5,11,0
2018-08-28,19,0,0,5,7,9,0
2018-08-29,17,0,1,2,5,2,0
2018-08-30,12,0,1,2,11,5,1
2018-08-31,28,0,0,1,6,1,0
2018-09-01,19,0,2,5,3,3,0
2018-09-02,25,0,0,4,2,3,0
2018-09-03,21,0,0,3,9,3,0
2018-09-04,25,0,0,3,8,7,0
2018-09-05,19,0,0,2,2,2,0
2018-09-06,15,0,1,3,9,7,0
2018-09-07,26,0,0,1,10,11,0
2018-09-08,20,0,0,4,5,9,1
2018-09-09,24,0,0,2,4,7,0
2018-09-10,24,0,0,1,7,4,0
2018-09-11,18,0,0,2,6,5,0
2018-09-12,25,0,1,0,6,8,0
2018-09-13,14,0,1,5,5,2,0
2018-09-14,25,0,0,3,7,6,0
2018-09-15,18,0,1,5,7,3,0
2018-09-16,14,0,0,6,10,6,0
2018-09-17,18,0,0,3,10,5,0
2018-09-18,20,0,0,1,13,9,0
2018-09-19,14,0,0,5,5,2,0
2018-09-20,18,0,0,6,6,2,0
2018-09-21,18,0,1,2,8,8,0
2018-09-22,15,0,0,4,5,5,0
2018-09-23,18,0,0,3,5,8,0
2018-09-24,24,0,0,3,13,3,0
2018-09-25,14,0,0,2,5,5,0
2018-09-26,18,0,1,3,10,5,1
2018-09-27,12,0,0,1,8,8,1
2018-09-28,20,0,0,3,5,6,0
2018-09-29,30,0,0,3,6,6,0
2018-09-30,20,0,0,7,8,11,0
2018-10-01,18,0,0,3,10,6,0
2018-10-02,16,0,0,2,10,6,0
