DATA_OBITO,OUTRAS,COVID - RO,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-03-31,9,0,0,0,0,1,0
2018-04-01,10,0,0,4,3,1,0
2018-04-02,13,0,0,3,4,2,0
2018-04-03,14,0,0,1,5,0,0
2018-04-04,9,0,0,1,5,2,0
2018-04-05,7,0,0,0,0,6,0
2018-04-06,12,0,0,0,3,1,0
2018-04-07,11,0,0,4,2,5,0
2018-04-08,10,0,0,2,2,4,0
2018-04-09,7,0,0,2,2,4,0
2018-04-10,11,0,0,2,6,2,0
2018-04-11,15,0,0,1,5,2,0
2018-04-12,15,0,0,1,4,4,0
2018-04-13,15,0,0,3,4,7,0
2018-04-14,9,0,0,1,3,7,0
2018-04-15,12,0,0,1,1,6,0
2018-04-16,8,0,0,1,2,4,0
2018-04-17,13,0,0,1,3,1,0
2018-04-18,16,0,0,3,3,8,0
2018-04-19,7,0,0,1,8,5,0
2018-04-20,17,0,0,0,2,3,0
2018-04-21,10,0,0,0,0,1,0
2018-04-22,10,0,0,1,1,3,0
2018-04-23,16,0,0,3,4,4,0
2018-04-24,14,0,0,1,3,3,0
2018-04-25,15,0,0,2,4,3,0
2018-04-26,9,0,0,0,2,5,0
2018-04-27,16,0,0,1,2,1,0
2018-04-28,8,0,0,2,4,2,0
2018-04-29,10,0,0,4,2,0,0
2018-04-30,13,0,0,1,3,2,1
2018-05-01,13,0,0,3,2,0,0
2018-05-02,6,0,0,1,2,1,0
2018-05-03,7,0,1,0,1,2,0
2018-05-04,15,0,0,0,0,0,0
2018-05-05,15,0,0,1,6,1,0
2018-05-06,7,0,0,1,4,0,0
2018-05-07,12,0,0,1,1,1,0
2018-05-08,9,0,0,0,2,0,0
2018-05-09,9,0,0,2,1,0,0
2018-05-10,9,0,0,2,3,0,0
2018-05-11,17,0,0,1,0,0,0
2018-05-12,10,0,0,1,3,1,0
2018-05-13,10,0,0,0,2,0,0
2018-05-14,8,0,0,0,4,2,0
2018-05-15,11,0,0,2,0,0,0
2018-05-16,5,0,0,0,3,0,0
2018-05-17,10,0,0,2,0,2,0
2018-05-18,9,0,0,2,2,2,0
2018-05-19,11,0,1,2,2,2,0
2018-05-20,20,0,0,1,2,1,0
2018-05-21,9,0,1,3,2,0,0
2018-05-22,7,0,0,0,4,0,0
2018-05-23,5,0,0,0,2,0,0
2018-05-24,6,0,0,2,2,1,0
2018-05-25,6,0,0,0,6,3,0
2018-05-26,4,0,0,2,6,1,0
2018-05-27,12,0,0,0,1,1,0
2018-05-28,7,0,0,0,1,1,0
