DATA_OBITO,OUTRAS,COVID - MA,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-02-24,22,0,0,5,3,4,0
2018-02-25,21,0,1,4,4,2,0
2018-02-26,27,0,0,3,6,3,0
2018-02-27,23,0,2,5,4,4,0
2018-02-28,15,0,0,9,6,3,0
2018-03-01,32,0,0,0,4,3,0
2018-03-02,20,0,0,1,1,3,0
2018-03-03,18,0,0,4,7,6,0
2018-03-04,18,0,0,3,1,1,0
2018-03-05,26,0,0,2,7,3,0
2018-03-06,27,0,0,5,2,6,0
2018-03-07,24,0,0,1,5,2,0
2018-03-08,20,0,1,3,6,2,0
2018-03-09,20,0,1,5,3,5,0
2018-03-10,26,0,0,5,3,6,0
2018-03-11,28,0,0,1,4,3,0
2018-03-12,20,0,1,1,8,0,0
2018-03-13,31,0,0,2,3,3,0
2018-03-14,21,0,0,3,3,4,0
2018-03-15,19,0,1,5,4,0,0
2018-03-16,15,0,0,1,1,2,0
2018-03-17,23,0,0,5,3,1,0
2018-03-18,11,0,0,4,0,3,0
2018-03-19,20,0,0,4,5,4,0
2018-03-20,23,0,0,3,1,2,0
2018-03-21,15,0,0,3,4,3,0
2018-03-22,22,0,1,3,2,4,0
2018-03-23,15,0,0,4,4,6,0
2018-03-24,18,0,0,2,5,2,0
2018-03-25,23,0,0,1,5,3,0
2018-03-26,20,0,0,8,2,4,0
2018-03-27,26,0,0,0,7,7,0
2018-03-28,25,0,0,3,3,9,0
2018-03-29,23,0,0,4,2,4,0
2018-03-30,16,0,0,4,6,2,0
2018-03-31,22,0,0,1,5,1,0
2018-04-01,21,0,0,1,1,4,0
2018-04-02,36,0,0,2,7,5,0
2018-04-03,22,0,0,4,3,2,0
2018-04-04,14,0,1,1,5,1,0
2018-04-05,31,0,1,4,7,7,0
2018-04-06,16,0,0,3,8,4,0
2018-04-07,25,0,1,2,4,5,0
2018-04-08,36,0,1,3,5,5,0
2018-04-09,27,0,0,7,3,7,0
2018-04-10,27,0,0,3,8,8,0
2018-04-11,28,0,1,5,3,10,0
2018-04-12,24,0,1,4,5,6,0
2018-04-13,34,0,1,4,3,3,0
2018-04-14,22,0,0,6,4,5,0
2018-04-15,25,0,1,2,7,2,0
2018-04-16,14,0,0,2,6,4,0
2018-04-17,28,0,2,2,6,5,0
2018-04-18,29,0,1,0,2,3,0
2018-04-19,25,0,0,8,11,8,0
2018-04-20,25,0,1,2,2,7,0
2018-04-21,29,0,0,2,10,2,0
2018-04-22,18,0,0,4,3,8,0
2018-04-23,35,0,1,0,8,5,0
2018-04-24,31,0,1,5,7,4,0
2018-04-25,32,0,1,2,5,3,0
2018-04-26,35,0,0,6,4,7,0
2018-04-27,21,0,0,6,11,4,0
2018-04-28,24,0,1,5,10,9,0
2018-04-29,35,0,0,4,14,6,0
2018-04-30,19,0,0,3,4,7,0
2018-05-01,16,0,0,2,6,3,0
2018-05-02,23,0,0,6,6,4,1
2018-05-03,25,0,1,6,5,3,0
2018-05-04,25,0,0,2,4,3,0
2018-05-05,27,0,1,5,8,2,1
2018-05-06,28,0,0,2,8,4,1
2018-05-07,27,0,0,5,7,8,0
2018-05-08,31,0,0,4,10,7,0
2018-05-09,31,0,0,7,2,4,0
2018-05-10,20,0,2,6,4,3,0
2018-05-11,29,0,0,2,5,9,0
2018-05-12,41,0,0,4,5,4,0
2018-05-13,26,0,0,5,7,6,0
2018-05-14,24,0,0,3,9,1,0
2018-05-15,46,0,0,5,3,4,0
2018-05-16,30,0,0,6,5,6,0
2018-05-17,27,0,0,7,13,7,0
2018-05-18,35,0,0,5,5,4,0
2018-05-19,18,0,1,2,4,4,0
2018-05-20,20,0,1,7,6,4,0
2018-05-21,26,0,1,5,6,2,0
2018-05-22,21,0,0,4,5,0,0
2018-05-23,20,0,0,3,4,5,0
2018-05-24,20,0,1,2,2,1,1
2018-05-25,25,0,0,1,4,1,0
2018-05-26,19,0,1,6,8,3,0
2018-05-27,29,0,0,1,3,5,0
2018-05-28,23,0,1,6,8,2,0
