DATA_OBITO,OUTRAS,COVID - MA,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-10-18,33,0,1,3,3,2,0
2019-10-19,32,0,0,5,4,5,0
2019-10-20,37,0,1,0,5,8,0
2019-10-21,36,0,1,5,4,2,0
2019-10-22,31,0,0,6,8,3,0
2019-10-23,24,0,0,8,7,6,0
2019-10-24,24,0,0,6,5,5,0
2019-10-25,27,0,0,8,5,7,0
2019-10-26,32,0,1,4,4,2,0
2019-10-27,31,0,0,7,6,4,0
2019-10-28,37,0,0,4,3,10,0
2019-10-29,30,0,1,5,5,5,0
2019-10-30,29,0,0,6,10,5,0
2019-10-31,16,0,0,6,8,5,0
2019-11-01,26,0,0,4,9,0,0
2019-11-02,41,0,0,2,4,3,0
2019-11-03,32,0,0,1,4,5,0
2019-11-04,26,0,2,6,2,3,0
2019-11-05,19,0,0,2,3,4,0
2019-11-06,27,0,0,4,5,4,0
2019-11-07,30,0,1,2,5,6,0
2019-11-08,20,0,0,4,8,3,0
2019-11-09,34,0,0,5,4,5,0
2019-11-10,27,0,0,3,11,2,0
2019-11-11,25,0,0,8,7,8,0
2019-11-12,22,0,0,3,4,3,0
2019-11-13,22,0,0,4,2,5,0
2019-11-14,25,0,0,5,6,5,0
2019-11-15,35,0,1,6,7,4,0
2019-11-16,29,0,0,5,5,4,0
2019-11-17,33,0,0,6,3,3,0
2019-11-18,31,0,0,2,1,2,0
2019-11-19,31,0,0,5,6,7,0
2019-11-20,21,0,0,4,7,2,0
2019-11-21,29,0,0,2,3,6,0
2019-11-22,37,0,0,4,3,1,0
2019-11-23,26,0,0,3,4,5,0
2019-11-24,17,0,0,3,6,7,0
2019-11-25,24,0,0,5,8,4,0
2019-11-26,21,0,0,2,3,3,0
2019-11-27,29,0,1,4,6,4,0
2019-11-28,28,0,1,5,3,7,0
2019-11-29,31,0,0,6,6,5,1
2019-11-30,24,0,0,3,6,3,0
2019-12-01,33,0,0,6,2,5,0
2019-12-02,35,0,0,7,6,5,0
2019-12-03,22,0,1,4,5,9,0
2019-12-04,30,0,0,4,3,7,0
2019-12-05,30,0,0,7,3,7,0
2019-12-06,25,0,0,3,4,2,0
2019-12-07,44,0,1,6,1,1,0
2019-12-08,40,0,1,7,6,1,0
2019-12-09,35,0,0,5,8,6,0
2019-12-10,29,0,0,11,3,4,0
2019-12-11,39,0,0,6,9,3,0
2019-12-12,23,0,0,5,3,2,0
2019-12-13,34,0,1,4,5,1,0
2019-12-14,31,0,0,2,12,2,0
2019-12-15,32,0,0,1,8,4,0
2019-12-16,27,0,0,8,2,4,0
2019-12-17,25,0,0,7,8,5,0
2019-12-18,34,0,0,4,5,7,0
2019-12-19,29,0,1,3,6,6,0
2019-12-20,16,0,1,6,6,7,0
2019-12-21,38,0,0,2,4,3,0
2019-12-22,38,0,1,7,8,4,0
2019-12-23,41,0,1,9,10,6,0
2019-12-24,38,0,0,2,12,6,0
2019-12-25,39,0,1,5,4,6,0
2019-12-26,35,0,0,5,5,3,0
2019-12-27,30,0,0,9,6,8,1
2019-12-28,35,0,0,8,4,3,0
2019-12-29,30,0,0,3,8,3,0
2019-12-30,29,0,2,4,7,3,0
2019-12-31,26,0,0,5,3,3,0
2020-01-01,44,0,0,6,5,1,0
2020-01-02,30,0,3,9,4,4,0
2020-01-03,32,0,0,4,4,3,0
2020-01-04,30,0,1,2,2,8,0
2020-01-05,42,0,0,5,6,3,0
2020-01-06,29,0,1,8,9,4,0
2020-01-07,33,0,0,5,1,6,0
2020-01-08,33,0,0,3,5,4,0
2020-01-09,39,0,0,8,4,6,0
2020-01-10,31,0,0,9,3,6,0
2020-01-11,28,0,1,5,4,3,0
2020-01-12,30,0,0,5,6,0,0
2020-01-13,26,0,1,2,2,2,0
2020-01-14,27,0,0,8,3,4,0
2020-01-15,43,0,0,5,7,1,0
2020-01-16,50,0,2,1,6,3,0
2020-01-17,29,0,1,2,3,0,0
2020-01-18,29,0,0,3,5,3,0
2020-01-19,49,0,2,1,3,7,0
2020-01-20,39,0,0,6,6,5,0
2020-01-21,32,0,0,9,4,6,0
2020-01-22,39,0,1,7,10,2,0
2020-01-23,41,0,0,8,3,4,0
2020-01-24,36,0,1,5,5,8,1
2020-01-25,41,0,1,3,2,8,0
2020-01-26,29,0,0,5,9,8,0
2020-01-27,32,0,2,10,4,3,0
2020-01-28,34,0,0,4,2,4,0
2020-01-29,34,0,0,8,9,2,0
2020-01-30,42,0,0,6,3,2,0
2020-01-31,31,0,0,7,7,6,0
2020-02-01,34,0,0,11,6,3,0
2020-02-02,39,0,0,7,5,8,0
2020-02-03,52,0,0,6,8,7,0
2020-02-04,31,0,0,8,6,3,0
2020-02-05,28,0,1,1,7,11,0
2020-02-06,47,0,1,3,6,5,0
2020-02-07,44,0,0,3,4,2,0
2020-02-08,40,0,0,3,6,7,0
2020-02-09,38,0,1,2,11,4,0
2020-02-10,31,0,1,5,8,4,0
2020-02-11,40,0,0,6,11,7,0
2020-02-12,40,0,0,6,12,4,0
2020-02-13,40,0,1,5,6,3,0
2020-02-14,42,0,1,5,4,5,0
2020-02-15,30,0,1,8,11,5,0
2020-02-16,40,0,0,4,10,7,1
2020-02-17,25,0,1,6,7,2,0
2020-02-18,36,0,0,7,9,6,0
2020-02-19,27,0,1,3,5,9,0
2020-02-20,26,0,0,6,12,7,0
2020-02-21,41,0,0,4,6,7,0
2020-02-22,30,0,0,2,5,2,0
2020-02-23,39,0,2,2,3,6,0
2020-02-24,41,0,1,3,10,1,0
2020-02-25,32,0,0,6,9,7,0
2020-02-26,29,0,0,7,8,5,0
2020-02-27,39,0,1,5,5,4,0
2020-02-28,42,0,0,6,9,3,0
2020-02-29,34,0,0,3,7,8,0
2020-03-01,43,0,0,3,8,3,0
2020-03-02,32,0,1,11,11,5,0
2020-03-03,36,0,0,5,5,1,0
2020-03-04,43,0,1,3,8,1,0
2020-03-05,31,0,1,8,13,4,0
2020-03-06,36,0,1,2,17,6,0
2020-03-07,29,0,0,3,5,1,0
2020-03-08,28,0,0,4,7,7,0
2020-03-09,33,0,0,4,15,4,0
2020-03-10,35,0,0,8,9,1,0
2020-03-11,41,0,0,5,11,3,0
2020-03-12,42,0,0,11,10,7,0
2020-03-13,24,0,1,5,9,2,0
2020-03-14,26,0,0,7,9,3,0
2020-03-15,38,0,1,7,15,3,0
2020-03-16,37,0,0,11,8,6,0
2020-03-17,32,0,0,7,7,5,0
2020-03-18,28,0,0,4,2,6,0
2020-03-19,35,0,1,6,8,7,0
2020-03-20,37,0,0,1,8,4,0
2020-03-21,38,0,2,6,7,1,0
2020-03-22,34,0,0,9,11,3,0
2020-03-23,39,0,1,5,11,6,0
2020-03-24,29,0,2,9,6,8,0
2020-03-25,34,0,0,3,9,4,0
2020-03-26,30,0,0,5,6,3,0
2020-03-27,40,0,1,1,8,6,0
2020-03-28,37,0,0,3,12,7,0
2020-03-29,31,0,0,7,8,3,0
2020-03-30,28,0,0,2,9,6,0
2020-03-31,31,0,0,2,12,3,0
2020-04-01,36,0,1,3,8,6,0
2020-04-02,35,0,0,11,7,6,0
2020-04-03,33,0,0,3,7,3,0
2020-04-04,48,0,1,5,7,8,0
2020-04-05,47,1,1,2,10,1,1
2020-04-06,34,1,1,6,8,3,0
2020-04-07,31,8,0,5,7,7,0
2020-04-08,27,1,0,7,8,7,0
2020-04-09,24,2,0,5,7,2,0
2020-04-10,47,2,0,10,5,5,0
2020-04-11,38,3,1,9,8,2,0
2020-04-12,40,5,0,2,7,7,1
2020-04-13,32,3,0,10,6,8,0
2020-04-14,30,2,0,2,5,4,2
2020-04-15,32,4,0,7,6,4,1
2020-04-16,41,0,0,11,4,2,4
2020-04-17,33,12,0,5,7,2,4
2020-04-18,31,10,0,4,3,3,3
2020-04-19,32,6,1,9,5,5,1
2020-04-20,53,8,0,12,8,7,2
2020-04-21,34,15,0,7,13,7,6
2020-04-22,44,16,0,8,8,4,4
2020-04-23,46,16,1,13,10,8,9
2020-04-24,53,15,0,17,15,3,13
2020-04-25,65,10,0,14,17,5,17
2020-04-26,63,14,0,13,12,5,11
2020-04-27,65,20,0,14,14,7,14
2020-04-28,56,19,0,13,17,9,25
2020-04-29,47,17,0,11,12,2,13
2020-04-30,54,23,0,12,14,5,16
2020-05-01,48,18,0,9,17,7,23
2020-05-02,56,22,0,16,15,3,20
2020-05-03,59,18,0,7,18,7,27
2020-05-04,53,18,1,11,8,9,23
2020-05-05,43,26,3,13,11,5,16
2020-05-06,44,14,0,13,10,9,21
2020-05-07,53,19,1,13,13,4,17
2020-05-08,51,28,0,15,11,5,16
2020-05-09,43,22,0,16,9,7,17
2020-05-10,60,19,0,13,8,4,17
2020-05-11,48,16,0,8,10,4,17
2020-05-12,64,22,0,8,5,3,20
2020-05-13,47,28,2,14,16,4,23
2020-05-14,48,29,0,15,10,7,17
2020-05-15,56,24,0,10,8,7,14
2020-05-16,43,31,2,8,11,5,9
2020-05-17,48,33,0,11,6,4,13
2020-05-18,55,19,0,11,12,6,12
2020-05-19,42,33,1,17,12,6,5
2020-05-20,56,28,0,15,14,1,7
2020-05-21,48,32,1,10,5,3,6
2020-05-22,46,31,0,10,5,7,6
2020-05-23,55,29,2,6,6,6,3
2020-05-24,66,28,0,9,7,4,9
2020-05-25,44,35,0,8,2,5,3
2020-05-26,46,36,0,9,6,5,7
2020-05-27,31,29,0,14,7,6,8
2020-05-28,38,30,0,15,6,3,4
2020-05-29,44,18,0,9,4,5,5
2020-05-30,45,27,0,8,6,3,5
2020-05-31,36,31,1,7,7,8,7
2020-06-01,40,25,1,10,5,7,2
2020-06-02,38,24,0,11,3,7,5
2020-06-03,49,19,0,6,8,9,1
2020-06-04,47,34,0,13,6,6,4
2020-06-05,48,34,0,6,6,6,4
2020-06-06,44,25,0,9,1,1,4
2020-06-07,41,17,1,9,5,5,7
2020-06-08,38,24,2,3,4,8,1
2020-06-09,36,23,0,8,4,3,2
2020-06-10,26,8,1,6,6,7,2
2020-06-11,35,23,1,13,6,2,2
2020-06-12,43,24,1,7,6,3,5
2020-06-13,40,23,2,4,5,4,2
2020-06-14,35,18,1,5,5,3,3
2020-06-15,43,17,1,4,12,3,1
2020-06-16,49,14,0,6,6,5,0
2020-06-17,45,17,1,6,6,2,5
2020-06-18,41,12,0,7,0,7,5
2020-06-19,38,18,0,2,5,5,4
2020-06-20,37,15,0,5,8,7,4
2020-06-21,31,16,1,4,4,5,3
2020-06-22,33,10,1,7,7,6,6
2020-06-23,43,15,0,5,6,6,1
2020-06-24,35,12,1,4,3,5,2
2020-06-25,36,8,4,7,4,1,3
2020-06-26,31,16,1,6,6,4,4
2020-06-27,42,17,1,6,7,6,1
2020-06-28,24,11,1,2,3,3,1
2020-06-29,40,12,1,5,5,2,0
2020-06-30,35,13,1,8,1,4,2
2020-07-01,27,19,1,2,6,3,2
2020-07-02,32,14,1,9,5,4,0
2020-07-03,28,12,0,3,4,4,3
2020-07-04,28,8,0,4,5,4,5
2020-07-05,37,17,0,7,5,3,2
2020-07-06,33,16,0,6,2,7,0
2020-07-07,21,8,0,2,3,3,2
2020-07-08,29,12,2,2,1,5,2
2020-07-09,20,10,0,7,6,4,1
2020-07-10,34,8,0,3,6,4,1
2020-07-11,27,8,0,6,8,5,1
2020-07-12,16,8,0,6,4,8,0
2020-07-13,23,7,1,6,3,2,0
2020-07-14,23,6,1,2,3,3,1
2020-07-15,21,10,0,3,1,2,0
2020-07-16,25,11,0,3,2,1,4
2020-07-17,11,2,0,1,3,3,1
2020-07-18,19,6,0,0,0,4,1
2020-07-19,17,5,2,6,1,1,2
2020-07-20,16,4,1,4,1,1,0
2020-07-21,13,4,0,4,1,1,0
2020-07-22,16,7,2,0,0,1,0
2020-07-23,10,2,0,0,0,4,1
2020-07-24,4,1,2,2,0,3,0
2020-07-25,8,2,0,1,1,0,0
2020-07-26,6,0,1,2,0,1,0
2020-07-27,7,0,0,0,1,1,0
2020-07-28,3,0,0,0,0,1,0
2020-07-29,2,0,0,0,1,0,0
