DATA_OBITO,OUTRAS,COVID - SP,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-07-23,420,0,7,73,234,99,0
2018-07-24,454,0,2,72,235,116,1
2018-07-25,416,0,2,73,228,120,1
2018-07-26,427,0,6,73,184,112,1
2018-07-27,441,0,4,71,208,121,0
2018-07-28,424,0,8,68,188,104,1
2018-07-29,430,0,7,72,208,114,0
2018-07-30,438,0,3,75,237,119,3
2018-07-31,417,0,4,69,215,112,0
2018-08-01,421,0,6,75,207,123,0
2018-08-02,409,0,3,74,199,108,1
2018-08-03,448,0,3,75,219,117,0
2018-08-04,487,0,2,64,206,111,1
2018-08-05,419,0,5,66,211,115,0
2018-08-06,467,0,1,75,203,96,3
2018-08-07,452,0,6,57,194,118,1
2018-08-08,461,0,4,73,199,110,2
2018-08-09,449,0,3,67,204,123,2
2018-08-10,463,0,2,77,197,111,0
2018-08-11,495,0,5,73,210,88,1
2018-08-12,440,0,4,66,181,111,1
2018-08-13,478,0,3,88,209,116,2
2018-08-14,454,0,3,72,228,110,0
2018-08-15,424,0,4,69,187,112,0
2018-08-16,495,0,8,70,204,133,0
2018-08-17,416,0,4,87,199,97,1
2018-08-18,483,0,3,86,204,127,2
2018-08-19,496,0,3,76,232,115,1
2018-08-20,423,0,5,78,243,118,0
2018-08-21,486,0,5,81,235,117,1
2018-08-22,424,0,4,88,190,104,0
2018-08-23,458,0,3,62,231,99,1
2018-08-24,470,0,4,88,206,120,1
2018-08-25,453,0,3,68,235,133,2
2018-08-26,430,0,2,60,188,100,1
2018-08-27,449,0,4,66,189,107,0
2018-08-28,459,0,3,71,209,103,0
2018-08-29,464,1,1,74,185,117,0
2018-08-30,459,0,3,76,210,114,0
2018-08-31,439,0,3,79,206,116,1
2018-09-01,500,0,1,77,263,117,1
2018-09-02,450,0,2,75,205,114,0
2018-09-03,486,0,5,68,189,118,0
2018-09-04,413,0,5,74,168,120,0
2018-09-05,443,0,4,59,176,112,0
2018-09-06,441,0,3,63,189,144,1
2018-09-07,469,0,4,76,213,121,0
2018-09-08,423,0,3,74,212,124,2
2018-09-09,481,0,7,72,189,98,0
2018-09-10,439,0,2,70,191,102,0
2018-09-11,424,0,4,76,185,107,1
2018-09-12,436,0,2,79,164,100,0
2018-09-13,425,0,1,70,196,129,0
2018-09-14,421,0,2,71,199,121,1
2018-09-15,446,0,3,69,186,133,1
2018-09-16,423,0,1,59,213,101,1
2018-09-17,446,0,3,62,188,111,1
2018-09-18,400,0,6,82,190,112,0
2018-09-19,434,0,3,70,195,100,2
2018-09-20,410,0,3,76,192,88,0
2018-09-21,434,0,2,76,199,101,4
2018-09-22,405,0,2,58,185,131,1
2018-09-23,413,0,2,64,204,123,1
2018-09-24,410,0,2,72,203,105,2
2018-09-25,443,0,5,67,186,118,2
2018-09-26,411,0,2,74,239,132,0
2018-09-27,395,0,4,80,161,127,0
2018-09-28,404,0,3,71,193,104,1
2018-09-29,405,0,4,53,192,111,2
2018-09-30,410,0,4,65,191,96,0
2018-10-01,430,0,4,57,181,117,2
2018-10-02,435,0,9,74,185,114,2
2018-10-03,427,0,0,70,227,133,1
2018-10-04,424,0,3,70,196,103,0
2018-10-05,419,0,3,61,156,105,1
2018-10-06,382,0,4,50,166,105,0
2018-10-07,388,0,1,63,176,110,0
2018-10-08,395,0,4,67,158,106,0
2018-10-09,429,0,4,65,189,103,2
2018-10-10,436,0,3,69,191,103,1
2018-10-11,380,0,2,70,198,116,1
2018-10-12,411,0,0,59,164,103,1
2018-10-13,457,0,7,65,183,113,0
2018-10-14,412,0,5,64,199,103,2
2018-10-15,422,0,4,68,204,113,1
2018-10-16,413,0,5,77,158,112,1
2018-10-17,406,0,5,78,174,110,1
2018-10-18,420,0,2,63,183,110,1
2018-10-19,375,0,2,62,179,100,2
2018-10-20,361,0,0,56,137,97,0
2018-10-21,403,0,7,45,174,112,0
2018-10-22,417,0,5,52,178,108,0
2018-10-23,423,0,7,76,186,101,1
2018-10-24,400,0,3,60,174,97,0
2018-10-25,443,0,2,75,170,100,1
2018-10-26,441,0,5,55,170,132,0
2018-10-27,433,0,14,59,195,125,0
2018-10-28,384,0,9,53,163,99,0
2018-10-29,437,0,3,49,140,99,1
2018-10-30,456,0,5,71,182,129,2
2018-10-31,464,0,3,64,175,109,1
2018-11-01,408,0,4,49,184,111,1
2018-11-02,440,0,2,75,207,111,0
2018-11-03,444,0,0,75,198,109,1
2018-11-04,416,0,6,61,154,96,0
2018-11-05,430,0,0,72,167,103,0
2018-11-06,408,0,2,64,191,124,2
2018-11-07,410,0,1,71,161,105,1
2018-11-08,422,0,3,78,176,95,0
2018-11-09,423,0,1,70,190,101,1
2018-11-10,440,0,3,75,202,121,0
