DATA_OBITO,OUTRAS,COVID - RJ,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-10-06,177,0,0,17,64,62,0
2018-10-07,198,0,0,21,69,60,0
2018-10-08,220,0,0,34,68,60,0
2018-10-09,192,0,0,29,72,65,0
2018-10-10,199,0,0,32,64,68,0
2018-10-11,199,0,0,18,64,61,0
2018-10-12,202,0,0,26,61,70,0
2018-10-13,199,0,1,43,60,69,0
2018-10-14,218,0,0,29,68,60,0
2018-10-15,193,0,1,29,54,44,1
2018-10-16,181,0,0,21,53,63,0
2018-10-17,203,0,0,19,64,72,1
2018-10-18,176,0,2,39,55,57,0
2018-10-19,189,0,0,29,62,66,0
2018-10-20,184,0,1,20,61,58,0
2018-10-21,197,0,0,25,46,68,0
2018-10-22,182,0,0,23,74,68,0
2018-10-23,201,0,0,19,69,60,0
2018-10-24,227,0,0,22,52,57,0
2018-10-25,179,0,1,27,56,57,0
2018-10-26,206,0,0,34,57,50,0
2018-10-27,191,0,0,27,70,59,0
2018-10-28,195,0,0,23,64,67,0
2018-10-29,202,0,0,29,62,56,0
2018-10-30,194,0,0,23,64,70,0
2018-10-31,224,0,0,22,68,67,0
2018-11-01,200,0,0,33,58,53,0
2018-11-02,200,0,0,27,63,66,0
2018-11-03,223,0,0,26,68,69,2
2018-11-04,213,0,1,26,60,58,0
2018-11-05,179,0,0,19,75,54,0
2018-11-06,177,0,0,28,53,51,0
2018-11-07,181,0,0,22,57,65,1
2018-11-08,167,0,3,28,52,52,0
2018-11-09,175,0,0,32,65,67,0
2018-11-10,178,0,1,22,60,47,0
2018-11-11,165,0,0,24,42,55,0
2018-11-12,190,0,0,13,53,50,0
2018-11-13,203,0,1,33,72,70,1
2018-11-14,219,0,0,27,57,64,0
2018-11-15,232,0,0,31,69,61,0
2018-11-16,200,0,0,32,65,63,0
2018-11-17,206,0,1,39,52,50,0
2018-11-18,176,0,0,33,63,65,0
2018-11-19,167,0,2,23,40,62,0
2018-11-20,146,0,0,24,61,55,0
2018-11-21,198,0,0,29,56,60,1
2018-11-22,185,0,0,35,55,64,0
2018-11-23,193,0,0,30,61,66,0
2018-11-24,201,0,0,25,57,71,0
2018-11-25,196,0,2,38,69,53,0
2018-11-26,192,0,1,33,63,50,1
2018-11-27,186,0,0,35,73,61,1
2018-11-28,184,0,1,23,61,59,0
2018-11-29,188,0,0,28,44,76,1
2018-11-30,178,0,2,42,71,59,0
2018-12-01,189,0,0,24,67,66,0
2018-12-02,209,0,0,22,67,55,0
2018-12-03,175,0,0,22,70,52,0
2018-12-04,183,0,3,14,78,66,0
2018-12-05,190,0,0,25,67,68,0
2018-12-06,183,0,1,28,52,59,0
2018-12-07,222,0,1,31,60,54,0
2018-12-08,170,0,3,28,59,50,0
2018-12-09,217,0,0,20,53,57,1
2018-12-10,193,0,1,23,73,64,0
2018-12-11,209,0,1,26,61,64,0
2018-12-12,206,0,1,21,71,56,1
2018-12-13,219,0,0,31,64,53,0
2018-12-14,189,0,1,31,61,67,0
2018-12-15,231,0,0,24,51,49,1
2018-12-16,231,0,0,26,55,57,0
