DATA_OBITO,OUTRAS,COVID - PI,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-01-12,16,0,2,7,5,6,0
2019-01-13,22,0,0,4,7,9,0
2019-01-14,23,0,0,4,5,0,1
2019-01-15,20,0,0,5,10,7,0
2019-01-16,21,0,0,8,6,7,0
2019-01-17,29,0,0,6,8,4,0
2019-01-18,17,0,1,9,7,3,0
2019-01-19,20,0,1,7,2,5,0
2019-01-20,22,0,0,4,5,2,0
2019-01-21,13,0,2,4,5,5,0
2019-01-22,16,0,0,7,4,3,0
2019-01-23,11,0,0,2,3,3,1
2019-01-24,22,0,0,5,10,7,0
2019-01-25,15,0,0,3,4,2,0
2019-01-26,26,0,0,6,8,7,0
2019-01-27,17,0,0,4,7,2,0
2019-01-28,11,0,0,2,2,7,0
2019-01-29,20,0,0,7,7,3,0
2019-01-30,16,0,0,4,4,6,0
2019-01-31,19,0,0,6,10,2,0
2019-02-01,16,0,1,4,5,4,0
2019-02-02,19,0,0,4,3,4,0
2019-02-03,19,0,1,4,5,4,0
2019-02-04,19,0,0,4,8,6,0
2019-02-05,18,0,0,4,7,6,0
2019-02-06,16,0,0,9,2,1,0
2019-02-07,13,0,0,5,3,6,0
2019-02-08,17,0,0,8,6,7,0
2019-02-09,17,0,0,5,6,2,1
2019-02-10,19,0,0,3,5,8,0
2019-02-11,17,0,1,5,8,6,0
2019-02-12,14,0,0,13,4,4,0
2019-02-13,14,0,0,3,5,7,0
2019-02-14,14,0,0,4,8,3,0
2019-02-15,23,0,0,4,7,9,0
2019-02-16,25,0,0,2,6,5,0
2019-02-17,21,0,0,4,6,1,0
2019-02-18,25,0,0,2,7,5,0
2019-02-19,25,0,0,4,5,4,0
2019-02-20,23,0,0,6,4,5,0
2019-02-21,19,0,0,6,7,7,0
2019-02-22,17,0,1,10,8,5,0
2019-02-23,13,0,0,6,7,5,0
2019-02-24,18,0,0,10,7,4,0
2019-02-25,13,0,0,4,7,6,0
2019-02-26,23,0,0,2,4,4,0
2019-02-27,15,0,0,13,5,5,0
2019-02-28,19,0,1,6,5,3,0
2019-03-01,14,0,0,2,10,5,0
2019-03-02,20,0,0,6,5,2,0
2019-03-03,23,0,1,3,7,5,0
2019-03-04,13,0,0,5,4,2,0
2019-03-05,18,0,0,7,5,3,0
2019-03-06,11,0,0,7,5,7,0
2019-03-07,30,0,1,5,5,4,0
2019-03-08,20,0,0,6,11,4,0
2019-03-09,18,0,0,6,5,6,0
2019-03-10,18,0,0,7,6,5,0
2019-03-11,22,0,0,11,9,3,0
2019-03-12,20,0,0,11,10,1,0
2019-03-13,27,0,0,2,4,2,0
2019-03-14,21,0,0,9,4,4,0
2019-03-15,17,0,0,9,10,4,0
2019-03-16,23,0,0,6,4,4,0
2019-03-17,18,0,0,1,6,3,0
2019-03-18,21,0,0,9,1,1,0
2019-03-19,20,0,0,6,3,1,0
2019-03-20,26,0,1,9,6,4,0
2019-03-21,26,0,0,6,7,2,0
2019-03-22,19,0,0,3,7,4,0
2019-03-23,15,0,0,6,6,5,0
2019-03-24,31,0,0,6,9,3,0
2019-03-25,21,0,0,3,8,5,0
2019-03-26,19,0,0,1,11,1,0
2019-03-27,20,0,0,2,3,4,0
2019-03-28,22,0,0,7,9,5,0
2019-03-29,26,0,0,3,5,3,0
2019-03-30,18,0,0,3,8,5,0
2019-03-31,18,0,0,7,3,5,0
2019-04-01,17,0,0,5,9,8,0
2019-04-02,18,0,0,4,8,8,0
2019-04-03,19,0,0,9,8,3,0
2019-04-04,21,0,0,4,6,5,0
2019-04-05,18,0,0,9,9,7,0
2019-04-06,15,0,0,1,9,7,1
2019-04-07,23,0,0,6,11,3,0
2019-04-08,11,0,1,5,1,6,0
2019-04-09,28,0,0,5,3,5,0
2019-04-10,25,0,1,10,2,7,0
2019-04-11,17,0,0,9,5,8,0
2019-04-12,21,0,1,13,6,3,0
2019-04-13,14,0,1,9,7,4,0
2019-04-14,24,0,0,4,14,7,0
2019-04-15,18,0,1,5,8,7,0
2019-04-16,20,0,0,4,6,1,0
2019-04-17,27,0,0,3,11,3,0
2019-04-18,21,0,0,4,9,6,0
2019-04-19,28,0,0,8,13,8,0
2019-04-20,28,0,0,5,11,1,0
2019-04-21,21,0,0,10,7,4,0
2019-04-22,18,0,0,7,7,6,0
2019-04-23,11,0,0,3,9,3,0
2019-04-24,19,0,0,3,11,5,0
2019-04-25,18,0,0,6,6,4,0
2019-04-26,16,0,0,4,4,2,0
2019-04-27,21,0,0,6,10,5,1
2019-04-28,28,0,0,7,10,3,0
2019-04-29,16,0,0,7,11,2,1
2019-04-30,24,0,0,4,10,5,0
2019-05-01,28,0,1,3,11,6,0
2019-05-02,16,0,0,5,6,9,0
2019-05-03,18,0,0,6,6,4,0
2019-05-04,27,0,1,6,9,5,0
2019-05-05,16,0,1,6,9,4,0
2019-05-06,25,0,0,5,11,2,0
2019-05-07,19,0,0,5,10,8,0
2019-05-08,13,0,0,10,10,8,0
2019-05-09,28,0,1,4,11,6,0
2019-05-10,17,0,2,7,9,3,0
2019-05-11,14,0,0,2,8,9,0
2019-05-12,27,0,0,10,13,3,0
2019-05-13,17,0,1,4,8,4,0
2019-05-14,18,0,0,5,13,5,0
2019-05-15,16,0,0,2,5,1,0
2019-05-16,23,0,0,6,8,2,0
2019-05-17,19,0,0,5,4,3,0
2019-05-18,22,0,0,7,6,8,0
2019-05-19,19,0,0,7,9,6,0
2019-05-20,21,0,0,5,3,5,0
2019-05-21,18,0,0,3,10,1,0
2019-05-22,15,0,0,5,8,5,0
2019-05-23,18,0,0,6,6,6,0
2019-05-24,18,0,1,3,9,4,1
2019-05-25,26,0,1,5,8,6,1
2019-05-26,12,0,1,8,9,4,0
2019-05-27,12,0,0,4,5,9,0
2019-05-28,18,0,0,4,13,10,0
2019-05-29,9,0,0,10,11,3,0
2019-05-30,17,0,0,9,8,6,0
2019-05-31,21,0,0,6,5,6,0
2019-06-01,14,0,0,3,14,0,0
2019-06-02,20,0,0,4,13,2,0
2019-06-03,15,0,0,5,9,5,0
2019-06-04,30,0,1,3,16,2,0
2019-06-05,19,0,0,6,4,3,0
2019-06-06,13,0,0,5,9,2,0
2019-06-07,18,0,0,5,13,2,0
2019-06-08,17,0,0,4,11,5,1
2019-06-09,17,0,0,6,7,6,0
2019-06-10,9,0,1,7,11,5,0
2019-06-11,11,0,0,6,8,3,0
