DATA_OBITO,OUTRAS,COVID - PB,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-12-24,29,0,1,5,9,7,0
2018-12-25,33,0,0,5,12,8,0
2018-12-26,43,0,0,6,20,9,0
2018-12-27,38,0,1,4,10,11,1
2018-12-28,32,0,3,6,9,15,0
2018-12-29,28,0,0,5,9,15,0
2018-12-30,31,0,1,1,10,5,0
2018-12-31,40,0,0,6,14,9,0
2019-01-01,36,0,1,8,9,12,0
2019-01-02,38,0,0,9,5,17,1
2019-01-03,43,0,1,3,11,14,0
2019-01-04,24,0,0,12,11,10,0
2019-01-05,29,0,0,10,10,9,0
2019-01-06,42,0,1,1,9,10,1
2019-01-07,38,0,0,9,7,11,0
2019-01-08,28,0,0,5,11,7,1
2019-01-09,33,0,0,10,11,11,0
2019-01-10,27,0,0,4,11,4,0
2019-01-11,51,0,0,5,13,13,0
2019-01-12,42,0,0,6,10,5,0
2019-01-13,32,0,0,7,18,10,0
2019-01-14,45,0,1,9,13,9,0
2019-01-15,41,0,1,10,11,7,0
2019-01-16,47,0,0,7,16,14,0
2019-01-17,42,0,0,8,13,5,0
2019-01-18,31,0,0,6,13,8,0
2019-01-19,36,0,0,2,13,12,0
2019-01-20,40,0,0,2,9,7,0
2019-01-21,40,0,1,10,7,10,0
2019-01-22,31,0,0,11,13,15,0
2019-01-23,29,0,0,6,15,7,0
2019-01-24,44,0,1,6,14,13,1
2019-01-25,25,0,0,5,6,7,0
2019-01-26,36,0,0,7,13,6,0
2019-01-27,36,0,0,11,10,12,0
2019-01-28,23,0,0,7,6,12,0
2019-01-29,54,0,0,5,7,13,0
2019-01-30,30,0,0,7,14,10,0
2019-01-31,41,0,0,7,11,7,0
2019-02-01,29,0,0,6,10,6,0
2019-02-02,49,0,0,12,12,10,0
2019-02-03,37,0,0,7,13,7,0
2019-02-04,39,0,0,6,15,7,0
2019-02-05,38,0,0,8,14,14,0
2019-02-06,44,0,1,4,7,13,0
2019-02-07,34,0,0,8,13,13,0
2019-02-08,34,0,1,3,12,10,0
2019-02-09,52,0,0,6,9,9,1
2019-02-10,38,0,0,7,20,6,0
