DATA_OBITO,OUTRAS,COVID - SE,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-07-19,18,0,0,2,9,8,0
2018-07-20,11,0,0,1,6,6,0
2018-07-21,19,0,1,2,5,4,0
2018-07-22,14,0,0,2,5,6,0
2018-07-23,22,0,0,5,2,9,0
2018-07-24,12,0,0,2,5,6,0
2018-07-25,14,0,1,1,6,5,0
2018-07-26,18,0,1,1,8,6,0
2018-07-27,16,0,0,1,4,3,0
2018-07-28,14,0,0,3,2,9,0
2018-07-29,21,0,1,3,7,2,0
2018-07-30,16,0,0,2,5,2,0
2018-07-31,10,0,0,1,7,10,0
2018-08-01,12,0,0,0,4,6,0
2018-08-02,13,0,2,2,5,1,0
2018-08-03,16,0,1,2,4,8,0
2018-08-04,20,0,0,1,6,6,0
2018-08-05,19,0,0,4,6,5,0
2018-08-06,18,0,0,1,3,8,0
2018-08-07,9,0,0,3,4,8,0
2018-08-08,18,0,0,0,6,5,0
2018-08-09,17,0,0,8,1,8,0
2018-08-10,10,0,0,4,1,8,0
2018-08-11,17,0,0,1,4,7,0
2018-08-12,15,0,0,3,7,8,0
2018-08-13,16,0,0,5,4,3,0
2018-08-14,20,0,1,3,4,3,0
2018-08-15,7,0,0,3,5,6,0
2018-08-16,12,0,1,6,5,6,0
2018-08-17,21,0,0,3,5,7,0
2018-08-18,21,0,0,3,6,5,0
2018-08-19,11,0,0,3,2,2,0
2018-08-20,16,0,1,4,3,2,0
2018-08-21,14,0,0,4,6,9,0
2018-08-22,18,0,0,1,5,3,0
2018-08-23,17,0,1,0,7,6,0
2018-08-24,16,0,0,2,2,5,0
2018-08-25,17,0,1,2,9,4,2
2018-08-26,20,0,0,3,4,6,0
2018-08-27,21,0,0,2,0,5,0
2018-08-28,16,0,1,3,3,8,0
2018-08-29,12,0,0,3,3,6,0
2018-08-30,16,0,0,2,3,1,0
2018-08-31,16,0,0,2,1,7,0
2018-09-01,27,0,0,3,5,4,0
2018-09-02,18,0,0,1,6,3,0
2018-09-03,24,0,0,0,3,2,0
2018-09-04,21,0,1,0,6,10,0
2018-09-05,15,0,0,4,4,5,0
2018-09-06,17,0,0,2,5,5,0
2018-09-07,13,0,0,2,5,8,0
2018-09-08,20,0,4,4,1,5,0
2018-09-09,17,0,0,3,4,8,0
2018-09-10,17,0,1,2,6,2,0
2018-09-11,24,0,1,3,1,6,0
2018-09-12,13,0,1,3,4,6,0
2018-09-13,18,0,0,2,4,4,0
2018-09-14,10,0,0,3,3,2,0
2018-09-15,15,0,0,1,6,8,0
2018-09-16,11,0,0,2,4,6,0
2018-09-17,13,0,0,5,4,4,0
2018-09-18,17,0,0,1,3,6,0
2018-09-19,14,0,0,1,7,9,0
2018-09-20,16,0,0,1,2,5,0
2018-09-21,15,0,1,6,6,7,0
2018-09-22,6,0,0,4,6,4,0
2018-09-23,14,0,0,5,8,4,0
2018-09-24,17,0,0,2,5,6,0
2018-09-25,18,0,1,5,6,4,0
2018-09-26,18,0,1,3,8,4,0
2018-09-27,12,0,0,2,2,8,0
2018-09-28,10,0,0,4,3,11,0
2018-09-29,11,0,1,0,7,8,0
2018-09-30,17,0,1,3,9,3,0
2018-10-01,21,0,0,2,2,12,0
2018-10-02,16,0,1,0,8,6,0
2018-10-03,16,0,0,2,2,3,0
2018-10-04,16,0,0,3,4,5,0
2018-10-05,15,0,0,5,6,3,0
2018-10-06,23,0,0,1,3,5,0
2018-10-07,18,0,1,3,5,6,0
2018-10-08,15,0,0,0,1,7,0
2018-10-09,9,0,1,4,3,1,0
2018-10-10,24,0,0,3,6,3,0
2018-10-11,13,0,1,2,2,9,0
2018-10-12,20,0,0,1,2,4,0
2018-10-13,12,0,0,2,1,4,0
2018-10-14,14,0,1,0,2,6,0
2018-10-15,17,0,0,1,2,8,0
2018-10-16,22,0,0,5,3,11,0
2018-10-17,24,0,0,4,3,6,0
2018-10-18,8,0,0,5,2,2,0
2018-10-19,14,0,0,6,3,4,0
2018-10-20,22,0,3,0,6,4,0
2018-10-21,20,0,0,1,4,9,0
2018-10-22,15,0,0,2,4,6,0
2018-10-23,20,0,2,3,1,3,0
