DATA_OBITO,OUTRAS,COVID - PA,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-09-11,24,0,0,5,5,7,0
2018-09-12,24,0,2,5,7,4,0
2018-09-13,26,0,0,9,7,5,0
2018-09-14,35,0,0,3,6,6,0
2018-09-15,27,0,0,5,5,8,0
2018-09-16,20,0,0,10,13,7,0
2018-09-17,24,0,0,3,9,7,0
2018-09-18,15,0,1,3,4,5,0
2018-09-19,29,0,0,13,8,6,0
2018-09-20,27,0,2,3,6,5,0
2018-09-21,19,0,1,4,6,6,0
2018-09-22,25,0,0,4,8,7,0
2018-09-23,29,0,0,2,8,3,0
2018-09-24,17,0,1,5,4,6,0
2018-09-25,23,0,0,9,4,6,0
2018-09-26,28,0,0,1,3,2,1
2018-09-27,18,0,1,2,5,4,0
2018-09-28,19,0,1,3,4,5,0
2018-09-29,9,0,2,6,3,4,0
2018-09-30,24,0,0,3,6,5,0
2018-10-01,25,0,2,0,3,2,0
2018-10-02,21,0,0,3,5,3,0
2018-10-03,22,0,1,5,6,0,0
2018-10-04,14,0,1,7,4,1,0
2018-10-05,20,0,0,2,6,3,0
2018-10-06,21,0,0,4,3,3,0
2018-10-07,17,0,0,4,3,2,1
2018-10-08,25,0,1,2,3,1,0
2018-10-09,28,0,0,1,4,5,0
2018-10-10,24,0,0,6,4,2,0
2018-10-11,15,0,2,2,5,5,0
2018-10-12,32,0,0,2,8,3,0
2018-10-13,18,0,0,7,7,1,0
2018-10-14,18,0,1,6,4,3,0
2018-10-15,24,0,0,4,9,4,0
2018-10-16,20,0,0,1,4,5,0
2018-10-17,23,0,0,6,4,3,1
2018-10-18,26,0,1,2,5,8,0
2018-10-19,23,0,0,2,4,1,0
2018-10-20,29,0,1,3,7,3,0
2018-10-21,31,0,1,4,2,4,0
2018-10-22,29,0,0,6,2,2,1
2018-10-23,29,0,1,4,6,4,0
2018-10-24,25,0,0,4,4,3,0
2018-10-25,31,0,1,6,6,10,0
2018-10-26,25,0,0,4,4,5,1
2018-10-27,27,0,0,5,6,5,0
2018-10-28,25,0,0,6,5,3,0
2018-10-29,26,0,0,4,6,6,1
2018-10-30,33,0,0,3,7,4,0
2018-10-31,27,0,0,8,9,5,0
2018-11-01,30,0,0,4,5,1,0
2018-11-02,25,0,2,6,7,2,0
2018-11-03,30,0,2,10,13,10,0
2018-11-04,30,0,1,9,15,8,0
2018-11-05,35,0,0,5,1,5,0
2018-11-06,25,0,4,2,10,11,0
2018-11-07,26,0,2,7,7,10,1
2018-11-08,31,0,0,6,6,7,0
2018-11-09,34,0,0,1,10,5,0
2018-11-10,24,0,0,0,12,10,0
2018-11-11,32,0,0,5,10,1,0
2018-11-12,28,0,0,1,10,7,0
2018-11-13,22,0,0,5,11,7,0
2018-11-14,37,0,0,4,15,3,0
2018-11-15,27,0,0,6,6,5,0
2018-11-16,35,0,0,8,17,2,0
2018-11-17,32,0,1,4,5,8,0
2018-11-18,23,0,1,7,4,3,0
2018-11-19,24,0,0,5,4,5,0
2018-11-20,36,0,0,6,9,5,0
2018-11-21,29,0,0,2,7,5,0
2018-11-22,29,0,0,4,10,2,0
2018-11-23,22,0,0,3,7,7,0
2018-11-24,25,0,0,5,9,5,0
2018-11-25,28,0,1,3,7,2,0
2018-11-26,31,0,1,10,6,4,0
2018-11-27,36,0,2,4,10,7,1
2018-11-28,16,0,1,3,11,3,1
2018-11-29,27,0,1,3,5,6,0
2018-11-30,17,0,3,4,10,2,0
2018-12-01,30,0,3,9,8,4,0
2018-12-02,29,0,0,5,6,9,0
2018-12-03,31,0,0,5,9,6,0
2018-12-04,32,0,0,8,12,5,0
2018-12-05,34,0,0,9,13,5,0
2018-12-06,28,0,0,4,11,8,0
2018-12-07,36,0,0,8,4,5,0
2018-12-08,32,0,4,12,7,5,0
2018-12-09,36,0,0,3,9,10,1
2018-12-10,35,0,0,6,13,4,0
2018-12-11,26,0,0,3,15,8,0
2018-12-12,40,0,0,8,8,5,0
2018-12-13,25,0,0,5,11,6,0
2018-12-14,32,0,0,8,16,6,0
2018-12-15,30,0,0,11,8,10,0
2018-12-16,34,0,1,7,10,11,0
2018-12-17,47,0,0,5,7,9,0
